Origin,QA_ID,data_source,K_trainee_High,qwen72b_topK_sentence_ids,trainee_High_sentence_ids,n_sentences_in_excerpt,n_attribution_sources,n_matched_sources
ID0703,Merge Q544,jama,6,"1,7,8,9,10,11","1,2,6,7,9,10",11,12,11
ID0708,Merge Q38,jama,8,"3,4,5,8,9,10,11,13","1,6,8,9,10,11,12,13",13,13,13
ID0710,Merge Q533,jama,5,"1,3,8,9,11","1,3,6,8,9",11,12,11
ID0712,Merge Q3980,mmlu,2,"1,2","1,2",5,5,5
ID0713,Merge Q1070,medbullets,6,"1,2,3,5,7,8","1,2,3,5,7,8",8,8,8
ID0715,Merge Q1069,medbullets,4,"1,4,6,7","2,4,6,7",7,7,7
ID0716,Merge Q350,jama,3,"2,5,9","1,4,7",10,8,8
ID0717,Merge Q1678,medxpert,3,"1,2,3","2,3,4",3,3,3
ID0718,Merge Q636,jama,5,"3,4,5,9,10","1,4,5,9,10",10,10,9
ID0721,Merge Q953,jama,6,"2,4,5,8,9,11","1,2,6,7,8,10",13,13,13
ID0723,Merge Q221,jama,11,"1,3,4,5,6,7,8,9,10,15,16","1,2,3,6,7,8,11,12,13,17,18",18,17,16
ID0726,Merge Q865,jama,3,"1,4,7","1,4,5",7,8,7
ID0731,Merge Q942,jama,10,"1,2,4,5,6,8,9,10,13,16","1,3,4,5,6,7,11,12,15,16",16,16,14
ID0732,Merge Q1256,medbullets,3,"1,4,5","1,2,6",7,7,7
ID0733,Merge Q837,jama,3,"5,6,7","1,3,4",7,6,6
ID0735,Merge Q3864,mmlu,3,"1,2,3","1,2,3",3,3,3
ID0737,Merge Q1940,medxpert,5,"1,3,5,6,7","1,3,5,6,7",7,7,7
ID0740,Merge Q288,jama,6,"3,4,6,7,8,10","1,4,5,6,9,10",10,10,10
ID0746,Merge Q500,jama,6,"1,2,3,4,5,14","2,6,8,9,10,11",15,12,12
ID0747,Merge Q537,jama,9,"2,3,4,6,8,10,11,12,13","1,2,3,4,5,6,7,11,13",13,14,13
ID0752,Merge Q3860,mmlu,3,"1,2,3","1,2,3",3,3,3
ID0753,Merge Q2099,medxpert,6,"1,3,4,5,6,7","1,3,4,5,6,7",7,7,7
ID0754,Merge Q954,jama,8,"5,6,8,9,10,11,13,14","1,2,4,5,7,11,12,14",14,12,12
ID0757,Merge Q3966,mmlu,4,"2,4,7,8","1,2,4,5",8,8,8
ID0758,Merge Q1905,medxpert,5,"1,2,4,5,7","1,5,6,7,8",8,8,8
ID0759,Merge Q1164,medbullets,6,"2,4,5,8,9,12","2,4,5,6,8,9",12,12,12
ID0761,Merge Q2370,medxpert,8,"1,3,4,5,6,7,8,9","1,3,4,5,6,7,8,9",9,9,9
ID0764,Merge Q1623,medxpert,4,"1,2,5,6","1,2,5,6",6,6,6
ID0765,Merge Q1758,medxpert,4,"1,5,6,7","1,5,6,7",7,7,7
ID0766,Merge Q3965,mmlu,2,"1,2","1,3",3,3,3
ID0769,Merge Q1018,jama,6,"1,3,6,7,8,9","1,2,4,5,6,7",9,9,9
ID0770,Merge Q1796,medxpert,1,3,4,4,4,4
ID0773,Merge Q4026,mmlu,1,1,1,7,7,7
ID0777,Merge Q1590,medxpert,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",8,8,8
ID0778,Merge Q3375,medxpert,4,"1,2,3,7","1,2,5,7",7,7,7
ID0779,Merge Q480,jama,7,"2,4,5,9,13,16,18","1,9,11,12,13,14,15",18,15,15
ID0780,Merge Q696,jama,11,"1,2,3,4,5,6,7,8,9,10,15","1,3,4,7,9,10,11,12,13,14,15",15,13,13
ID0784,Merge Q1306,medbullets,5,"2,4,5,8,9","1,2,5,8,9",9,18,9
ID0786,Merge Q1942,medxpert,4,"1,4,6,8","1,6,7,9",9,9,9
ID0788,Merge Q1102,medbullets,2,"2,8","1,2",8,8,8
ID0789,Merge Q4027,mmlu,5,"1,2,3,4,6","1,2,3,4,6",6,6,6
ID0790,Merge Q1044,medbullets,6,"1,2,5,9,10,11","1,2,5,9,11,12",11,11,11
ID0792,Merge Q2237,medxpert,2,"1,3","1,5",5,5,5
ID0798,Merge Q2614,medxpert,5,"1,2,3,4,5","1,3,4,5,6",6,6,6
ID0799,Merge Q3839,mmlu,2,"3,4","3,4",5,5,5
ID0801,Merge Q1042,medbullets,5,"1,3,7,10,11","6,7,8,10,11",11,11,11
ID0802,Merge Q3807,mmlu,6,"1,2,3,4,5,6","1,2,3,4,5,6",6,6,6
ID0803,Merge Q281,jama,5,"1,2,3,5,8","1,3,5,8,10",13,11,11
ID0805,Merge Q2256,medxpert,2,"4,5","2,4",5,5,5
ID0809,Merge Q1019,jama,9,"1,2,3,4,7,8,10,11,14","1,2,5,6,8,9,10,11,13",14,14,14
ID0810,Merge Q1252,medbullets,3,"1,2,3","1,2,3",5,13,5
ID0811,Merge Q2725,medxpert,3,"1,2,3","1,3,4",6,6,6
ID0813,Merge Q3278,medxpert,4,"1,2,3,5","1,2,3,5",5,5,5
ID0815,Merge Q1554,medxpert,1,9,1,9,9,9
ID0816,Merge Q3359,medxpert,2,"1,6","3,4",7,7,7
ID0819,Merge Q3835,mmlu,2,"1,2","2,3",5,5,5
ID0821,Merge Q1925,medxpert,3,"1,2,3","1,4,5",5,5,5
ID0826,Merge Q812,jama,4,"3,7,11,16","1,2,7,11",17,13,12
ID0827,Merge Q2324,medxpert,6,"3,4,6,7,9,10","1,2,3,7,9,10",10,10,10
ID0828,Merge Q2711,medxpert,4,"1,3,4,5","1,3,4,5",5,12,5
ID0831,Merge Q1428,medxpert,7,"3,5,6,7,8,9,13","1,3,6,8,9,10,13",13,13,13
ID0833,Merge Q1298,medbullets,2,"7,10","1,2",12,13,12
ID0834,Merge Q794,jama,5,"5,6,9,10,12","1,5,8,9,10",13,27,24
ID0835,Merge Q1231,medbullets,5,"1,7,8,9,11","3,6,7,9,11",11,11,11
ID0837,Merge Q588,jama,6,"1,2,3,4,7,11","1,2,3,4,7,10",20,18,17
ID0840,Merge Q3904,mmlu,5,"1,2,3,6,7","1,2,5,6,7",7,7,7
ID0841,Merge Q1258,medbullets,7,"1,2,3,4,6,7,8","1,2,5,6,7,8,9",9,9,9
ID0843,Merge Q1608,medxpert,4,"1,2,3,4","1,2,3,7",10,10,10
ID0844,Merge Q1165,medbullets,3,"3,4,7","1,3,7",10,10,10
ID0845,Merge Q1312,medbullets,7,"3,4,6,7,8,10,11","1,4,6,7,8,10,11",11,11,11
ID0846,Merge Q163,jama,8,"1,2,3,4,6,7,10,13","1,2,4,5,9,10,11,12",13,11,11
ID0851,Merge Q3991,mmlu,5,"2,3,4,5,6","1,2,3,4,5",6,6,6
ID0852,Merge Q1039,medbullets,8,"1,2,3,4,6,7,10,11","1,2,4,5,8,9,10,11",11,12,11
ID0856,Merge Q2241,medxpert,6,"1,3,4,5,6,7","1,2,3,5,6,7",7,7,7
ID0859,Merge Q434,jama,2,"3,7","1,7",9,10,9
ID0860,Merge Q1406,medxpert,4,"2,3,5,6","1,4,5,6",6,6,6
ID0861,Merge Q1267,medbullets,4,"1,2,3,7","1,2,5,7",8,8,8
ID0864,Merge Q3958,mmlu,2,"1,2","1,2",7,7,7
ID0866,Merge Q960,jama,5,"4,5,8,10,12","1,5,6,10,12",12,10,10
ID0867,Merge Q524,jama,3,"2,3,12","1,6,7",13,10,10
ID0869,Merge Q495,jama,7,"2,3,6,8,9,10,14","1,2,3,6,9,10,11",15,12,12
ID0870,Merge Q2495,medxpert,6,"1,2,3,4,5,6","1,2,3,5,6,8",8,25,9
ID0872,Merge Q3305,medxpert,2,"1,4","1,4",7,7,7
ID0878,Merge Q182,jama,8,"2,3,5,6,7,9,10,15","1,2,6,7,8,11,14,15",15,13,13
ID0880,Merge Q3009,medxpert,5,"1,5,6,8,9","1,3,4,8,9",9,9,9
ID0884,Merge Q4038,mmlu,2,"1,10","1,2",11,11,11
ID0885,Merge Q1191,medbullets,3,"4,5,7","8,10,12",12,15,12
ID0887,Merge Q1181,medbullets,3,"1,2,7","1,2,4",10,10,10
ID0894,Merge Q74,jama,6,"1,3,4,5,6,7","1,3,4,6,7,8",10,10,9
ID0895,Merge Q323,jama,6,"3,4,5,6,11,13","1,2,5,7,10,11",15,12,12
ID0899,Merge Q851,jama,8,"1,2,3,6,7,8,9,10","1,2,3,4,5,6,7,8",10,10,10
ID0901,Merge Q1301,medbullets,10,"2,3,4,6,7,8,9,11,12,13","1,2,3,4,5,6,10,11,12,13",13,13,13
ID0902,Merge Q1888,medxpert,3,"1,2,7","1,2,6",7,7,7
ID0904,Merge Q431,jama,3,"1,7,11","1,7,8",12,13,12
ID0907,Merge Q2120,medxpert,4,"1,2,4,5","1,2,3,4",5,5,5
ID0909,Merge Q3979,mmlu,6,"2,5,7,9,10,12","1,6,11,12,15,16",16,16,16
ID0910,Merge Q3949,mmlu,3,"1,2,3","1,3,4",4,4,4
ID0911,Merge Q4015,mmlu,4,"1,2,3,6","2,3,10,11",11,11,11
ID0912,Merge Q3001,medxpert,2,"3,4","1,4",4,4,4
ID0918,Merge Q3840,mmlu,6,"1,2,4,5,6,7","1,3,4,5,6,7",7,7,7
ID0919,Merge Q1474,medxpert,3,"1,8,9","1,8,9",9,9,9
ID0922,Merge Q3014,medxpert,6,"1,3,4,9,10,14","1,2,3,4,7,10",14,14,14
ID0923,Merge Q1207,medbullets,5,"2,3,6,7,9","1,3,6,7,9",10,9,9
ID0924,Merge Q1105,medbullets,4,"1,2,4,7","1,3,7,8",10,10,10
ID0926,Merge Q3370,medxpert,6,"1,2,3,4,5,6","1,2,4,5,6,7",6,6,6
ID0934,Merge Q2050,medxpert,5,"1,2,3,4,5","1,2,3,4,5",5,5,5
ID0935,Merge Q266,jama,6,"1,2,8,12,14,15","1,3,8,9,10,15",15,16,15
ID0937,Merge Q317,jama,4,"8,14,18,25","1,2,3,11",25,22,22
ID0941,Merge Q1703,medxpert,6,"1,2,3,4,6,7","1,2,3,4,5,8",8,8,8
ID0942,Merge Q2921,medxpert,2,"1,5","1,5",5,5,5
ID0944,Merge Q3934,mmlu,7,"1,2,3,4,5,6,8","1,2,3,4,6,7,8",8,8,8
ID0948,Merge Q3351,medxpert,4,"3,4,5,6","1,2,5,6",6,6,6
ID0949,Merge Q1087,medbullets,3,"1,2,3","1,2,3",8,8,8
ID0951,Merge Q3785,mmlu,1,5,5,5,5,5
ID0953,Merge Q3912,mmlu,4,"4,5,7,8","1,2,7,8",8,8,8
ID0957,Merge Q1440,medxpert,6,"1,5,6,7,8,9","1,3,6,7,8,9",9,9,9
ID0962,Merge Q723,jama,4,"1,5,6,8","1,4,5,7",8,8,8
ID0963,Merge Q3932,mmlu,2,"1,6","1,6",8,8,8
ID0965,Merge Q2002,medxpert,3,"1,2,4","1,2,7",7,29,7
ID0972,Merge Q2997,medxpert,3,"1,4,7","1,3,5",7,7,7
ID0973,Merge Q3,jama,9,"2,4,6,7,8,12,15,16,17","1,2,5,6,7,12,14,15,16",17,17,17
ID0974,Merge Q1143,medbullets,3,"1,3,6","1,2,6",6,7,6
ID0976,Merge Q704,jama,3,"3,4,6","1,3,4",6,4,4
ID0979,Merge Q2855,medxpert,4,"1,3,6,8","1,6,7,8",8,8,8
ID0981,Merge Q94,jama,7,"1,2,3,4,5,6,7","1,2,3,5,8,10,11",11,11,11
ID0982,Merge Q520,jama,6,"2,5,6,7,9,11","1,2,5,6,7,8",15,11,11
ID0987,Merge Q1219,medbullets,5,"1,2,3,5,6","1,2,3,4,5",11,11,11
ID0992,Merge Q2009,medxpert,4,"1,2,3,4","1,2,3,4",4,4,4
ID0994,Merge Q1747,medxpert,5,"2,3,5,7,8","1,2,3,4,7",8,8,8
ID0998,Merge Q404,jama,10,"1,2,4,5,7,8,9,10,12,16","1,2,4,8,9,10,11,12,13,14",16,16,16
ID0999,Merge Q3889,mmlu,4,"1,2,3,10","1,2,3,10",10,10,10
ID1001,Merge Q622,jama,5,"4,7,9,12,14","1,4,5,9,12",14,10,9
ID1002,Merge Q560,jama,10,"1,2,3,4,5,6,9,16,18,23","1,2,3,7,10,14,16,17,18,19",24,25,24
ID1005,Merge Q457,jama,4,"5,7,9,10","1,4,5,7",10,11,10
ID1009,Merge Q1486,medxpert,6,"2,5,6,7,9,10","1,2,3,5,9,10",10,10,10
ID1013,Merge Q3876,mmlu,3,"1,3,4","1,3,7",8,8,8
ID1014,Merge Q546,jama,9,"2,5,6,7,8,11,12,13,15","1,3,7,8,9,10,11,14,15",15,16,15
ID1015,Merge Q421,jama,5,"9,11,12,13,14","1,2,3,12,13",14,18,14
ID1016,Merge Q366,jama,4,"4,5,6,9","1,2,3,6",9,8,8
ID1017,Merge Q875,jama,5,"2,4,7,8,9","1,4,6,7,9",9,9,8
ID1020,Merge Q276,jama,5,"1,2,4,7,8","3,4,7,8,9",9,9,8
ID1021,Merge Q159,jama,5,"4,6,7,8,10","1,3,4,5,10",10,11,10
ID1022,Merge Q833,jama,6,"3,4,5,6,7,9","1,2,4,5,6,7",9,9,8
ID1024,Merge Q1243,medbullets,4,"2,9,10,11","2,8,9,10",11,11,11
ID1025,Merge Q3848,mmlu,5,"3,5,6,7,9","1,5,6,7,9",9,9,9
ID1026,Merge Q2369,medxpert,4,"1,2,3,10","1,8,10,11",11,11,11
ID1029,Merge Q2898,medxpert,5,"2,6,8,9,10","1,2,8,9,10",10,21,10
ID1031,Merge Q3289,medxpert,7,"1,3,4,5,6,7,8","1,2,3,5,6,7,8",8,26,8
ID1032,Merge Q1023,jama,13,"1,2,3,4,5,6,7,9,10,11,12,14,15","1,2,4,5,6,7,8,9,10,11,12,14,15",15,15,14
ID1035,Merge Q874,jama,5,"1,3,4,8,9","1,5,7,8,9",10,9,9
ID1037,Merge Q239,jama,5,"1,2,3,6,10","1,2,7,9,10",10,9,8
ID1038,Merge Q970,jama,7,"1,2,3,4,5,6,8","1,3,4,5,6,7,8",8,8,8
ID1044,Merge Q4036,mmlu,2,"3,4","3,4",4,4,4
ID1047,Merge Q108,jama,8,"1,2,4,7,10,11,12,13","1,2,3,4,5,6,11,12",13,11,11
ID1048,Merge Q623,jama,3,"3,4,6","1,3,6",7,7,6
ID1049,Merge Q981,jama,5,"2,3,7,8,12","1,2,5,7,8",12,10,10
ID1051,Merge Q1053,medbullets,6,"1,3,4,5,6,7","1,2,3,7,8,9",9,9,9
ID1055,Merge Q3522,medxpert,2,"1,3","1,3",3,3,3
ID1058,Merge Q2031,medxpert,3,"1,2,4","1,2,4",4,4,4
ID1059,Merge Q3941,mmlu,6,"1,2,4,5,6,7","1,3,4,5,6,7",7,7,7
ID1062,Merge Q2311,medxpert,3,"1,3,4","1,2,4",4,4,4
ID1063,Merge Q3952,mmlu,2,"1,3","1,3",3,3,3
ID1064,Merge Q4041,mmlu,2,"3,4","2,4",4,4,4
ID1065,Merge Q1690,medxpert,6,"1,2,4,5,6,7","1,2,3,4,6,7",7,7,7
ID1066,Merge Q1684,medxpert,2,"2,4","1,4",4,4,4
ID1067,Merge Q2652,medxpert,3,"1,5,6","3,5,6",6,6,6
ID1068,Merge Q724,jama,12,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,5,6,7,8,9,11,12,13",13,12,11
ID1070,Merge Q137,jama,6,"1,3,6,9,11,12","1,3,4,6,7,12",12,11,10
ID1073,Merge Q12,jama,7,"1,2,3,4,9,10,11","1,4,5,7,8,10,11",12,9,9
ID1074,Merge Q1651,medxpert,5,"1,2,3,5,6","1,4,5,7,8",8,17,8
ID1076,Merge Q694,jama,8,"2,4,7,9,11,12,13,16","1,7,12,13,14,15,16,17",17,17,16
ID1077,Merge Q921,jama,10,"1,2,3,4,5,6,8,9,11,12","1,2,6,9,10,11,12,13,14,15",15,17,15
ID1079,Merge Q873,jama,5,"2,3,6,7,8","1,2,5,6,9",10,7,7
ID1081,Merge Q1058,medbullets,5,"2,4,6,7,8","1,2,6,7,8",9,9,9
ID1082,Merge Q3943,mmlu,3,"1,2,3","1,2,3",10,10,10
ID1084,Merge Q345,jama,8,"1,2,3,6,7,8,10,12","1,2,6,8,9,10,11,12",14,13,12
ID1085,Merge Q2834,medxpert,3,"1,3,6","1,2,6",6,6,6
ID1087,Merge Q615,jama,5,"4,7,8,11,13","1,6,7,8,10",13,10,10
ID1088,Merge Q3957,mmlu,4,"3,6,9,11","6,8,9,11",11,11,11
ID1090,Merge Q683,jama,6,"2,4,5,6,8,10","1,2,3,8,9,10",10,11,10
ID1093,Merge Q1147,medbullets,4,"1,2,4,6","3,4,5,6",9,9,9
ID1098,Merge Q216,jama,8,"1,2,4,5,6,8,14,15","1,2,3,5,8,11,12,15",15,14,13
ID1099,Merge Q181,jama,3,"3,7,8","1,7,11",12,11,11
ID1101,Merge Q927,jama,7,"1,2,3,5,6,8,10","1,4,6,7,11,12,13",14,12,12
ID1102,Merge Q2366,medxpert,5,"2,3,7,10,12","1,2,3,11,12",12,12,12
ID1108,Merge Q1938,medxpert,3,"3,4,5","1,2,5",5,5,5
ID1110,Merge Q481,jama,4,"2,3,4,6","1,2,3,5",6,7,6
ID1112,Merge Q3826,mmlu,3,"1,2,10","1,2,10",11,11,11
ID1113,Merge Q303,jama,7,"1,4,5,6,7,9,11","1,3,4,5,6,7,11",14,16,13
ID1114,Merge Q3888,mmlu,3,"2,3,7","1,2,7",11,11,11
ID1116,Merge Q1132,medbullets,3,"4,5,10","1,4,6",11,11,11
ID1117,Merge Q2034,medxpert,2,"1,2","1,7",7,7,7
ID1121,Merge Q486,jama,5,"1,2,5,7,13","1,2,5,6,9",14,14,13
ID1125,Merge Q3165,medxpert,1,6,6,6,6,6
ID1127,Merge Q306,jama,9,"1,2,3,5,7,8,9,12,13","1,3,4,5,6,7,11,12,13",13,12,12
ID1130,Merge Q1061,medbullets,3,"1,3,4","1,3,4",4,4,4
ID1132,Merge Q569,jama,10,"2,4,5,6,8,9,10,15,16,17","1,2,4,8,9,10,11,13,14,16",17,18,17
ID1135,Merge Q325,jama,8,"1,3,4,5,6,7,8,10","1,2,3,4,5,7,8,9",10,9,9
ID1137,Merge Q1254,medbullets,5,"2,3,4,7,9","1,2,3,4,6",9,9,9
ID1141,Merge Q1577,medxpert,6,"1,2,3,4,5,6","1,2,3,4,7,9",9,7,7
ID1142,Merge Q1195,medbullets,7,"2,4,5,6,8,9,10","1,4,5,6,8,9,10",10,20,10
ID1147,Merge Q2222,medxpert,3,"1,2,6","1,4,6",6,6,6
ID1148,Merge Q101,jama,6,"1,2,4,6,13,15","1,6,7,8,11,15",18,16,15
ID1149,Merge Q801,jama,5,"1,2,3,8,9","1,3,4,8,9",9,9,9
ID1150,Merge Q102,jama,6,"7,9,11,12,15,16","1,2,11,12,13,15",17,16,16
ID1151,Merge Q2088,medxpert,2,"1,2","1,4",5,5,5
ID1153,Merge Q1062,medbullets,5,"2,3,6,7,9","2,3,4,6,7",9,9,9
ID1154,Merge Q2533,medxpert,5,"2,3,8,9,10","1,5,7,9,10",10,10,10
ID1157,Merge Q1096,medbullets,8,"1,3,4,6,7,8,9,11","1,2,3,4,7,9,10,11",11,12,11
ID1158,Merge Q1141,medbullets,6,"1,3,7,8,9,10","1,2,4,8,9,10",10,10,10
ID1161,Merge Q3211,medxpert,2,"1,3","1,3",3,3,3
ID1162,Merge Q634,jama,12,"1,3,4,5,6,7,8,9,10,13,15,17","1,8,9,10,11,12,13,14,15,16,17,18",18,17,15
ID1163,Merge Q3964,mmlu,4,"2,6,8,9","2,5,6,9",9,9,9
ID1164,Merge Q310,jama,3,"2,3,4","1,3,4",5,6,5
ID1167,Merge Q592,jama,6,"1,2,4,6,9,15","1,4,8,9,12,13",15,13,13
ID1170,Merge Q97,jama,8,"3,4,5,6,7,8,9,11","1,3,4,6,7,8,9,10",11,9,9
ID1171,Merge Q210,jama,7,"2,3,5,6,7,8,9","1,2,4,6,7,8,9",9,10,9
ID1172,Merge Q1482,medxpert,3,"2,3,4","1,3,4",4,4,4
ID1175,Merge Q208,jama,12,"1,2,4,6,8,10,11,12,13,15,16,18","1,2,3,6,7,8,12,13,14,15,17,18",18,17,17
ID1176,Merge Q2643,medxpert,4,"3,4,6,8","1,2,3,5",9,9,9
ID1179,Merge Q3000,medxpert,8,"1,2,5,7,8,9,10,11","1,5,6,7,8,9,10,11",11,11,11
ID1180,Merge Q3906,mmlu,4,"1,3,4,5","1,3,4,5",5,5,5
ID1181,Merge Q3910,mmlu,2,"2,4","2,4",4,4,4
ID1182,Merge Q3953,mmlu,5,"1,2,6,7,9","1,2,7,8,9",9,9,9
ID1184,Merge Q1858,medxpert,3,"1,4,6","1,4,6",9,9,9
ID1185,Merge Q230,jama,2,"7,13","1,7",14,10,10
ID1187,Merge Q3939,mmlu,5,"5,7,10,11,12","1,9,10,11,12",12,12,12
ID1190,Merge Q2621,medxpert,3,"3,4,5","1,4,5",5,5,5
ID1193,Merge Q136,jama,2,"1,3","1,3",4,5,4
ID1194,Merge Q3154,medxpert,4,"1,2,6,7","1,2,5,6",7,7,7
ID1197,Merge Q674,jama,6,"1,2,3,4,5,6","1,2,3,4,5,6",6,7,5
ID1199,Merge Q1860,medxpert,3,"1,3,5","1,3,5",5,5,5
ID1200,Merge Q1108,medbullets,7,"1,2,3,4,6,8,9","1,2,3,4,8,9,10",10,17,10
ID1201,Merge Q604,jama,6,"1,3,5,7,11,12","1,2,4,6,9,11",13,10,10
ID1202,Merge Q1213,medbullets,3,"1,5,9","1,4,5",10,10,10
ID1204,Merge Q138,jama,4,"3,4,6,7","1,2,3,7",8,8,7
ID1206,Merge Q3970,mmlu,5,"1,3,6,7,12","1,4,12,13,14",14,14,14
ID1208,Merge Q2338,medxpert,6,"1,2,3,4,5,7","1,2,3,4,5,7",7,7,7
ID1209,Merge Q3913,mmlu,3,"1,2,3","1,2,3",4,6,6
ID1212,Merge Q1982,medxpert,3,"1,3,4","1,3,4",4,4,4
ID1215,Merge Q523,jama,7,"2,4,5,6,8,11,12","1,2,3,6,7,11,12",12,14,11
ID1217,Merge Q804,jama,7,"1,2,3,5,7,8,10","1,3,5,6,8,9,10",10,10,10
ID1218,Merge Q1151,medbullets,4,"3,4,9,13","2,3,4,13",13,13,13
ID1223,Merge Q3950,mmlu,4,"2,3,7,8","1,2,3,8",8,8,8
ID1226,Merge Q2958,medxpert,3,"2,3,4","1,3,4",4,4,4
ID1227,Merge Q3882,mmlu,3,"4,5,7","1,3,4",7,7,7
ID1228,Merge Q1193,medbullets,4,"6,7,8,9","1,2,4,9",10,10,10
ID1229,Merge Q662,jama,14,"1,2,3,4,6,7,8,9,10,11,12,13,14,16","1,4,5,6,7,8,9,10,11,12,13,14,15,16",16,16,15
ID1239,Merge Q3976,mmlu,5,"1,2,4,6,7","1,2,5,6,7",7,7,7
ID1240,Merge Q3975,mmlu,2,"2,4","3,4",4,4,4
ID1244,Merge Q80,jama,6,"1,6,9,12,13,15","1,3,5,9,10,11",16,13,12
ID1245,Merge Q1244,medbullets,4,"2,3,5,6","1,2,4,6",6,6,6
ID1246,Merge Q1253,medbullets,5,"4,5,8,10,11","3,5,9,10,13",13,13,13
ID1247,Merge Q415,jama,8,"2,3,4,5,6,9,11,12","1,2,3,7,9,10,11,12",12,12,11
ID1248,Merge Q3874,mmlu,1,4,4,4,4,4
ID1249,Merge Q1266,medbullets,6,"1,2,3,4,6,7","1,2,5,6,7,8",8,8,8
ID1252,Merge Q3246,medxpert,5,"1,2,4,5,6","1,2,3,5,6",6,6,6
ID1254,Merge Q2497,medxpert,1,1,4,4,4,4
ID1255,Merge Q1489,medxpert,8,"1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",8,8,8
ID1256,Merge Q3455,medxpert,4,"1,4,5,6","1,2,3,7",7,7,7
ID1258,Merge Q3942,mmlu,4,"2,3,4,5","2,3,4,5",5,5,5
ID1261,Merge Q3937,mmlu,4,"2,3,5,7","1,5,6,7",7,7,7
ID1262,Merge Q1220,medbullets,4,"2,3,4,12","1,2,3,4",12,12,12
ID1266,Merge Q782,jama,12,"2,3,4,5,6,7,8,11,13,14,15,16","1,2,4,5,7,8,9,10,13,14,15,16",16,17,15
ID1268,Merge Q3951,mmlu,2,"1,3","1,3",3,3,3
ID1269,Merge Q1229,medbullets,5,"1,2,8,10,11","1,5,6,7,8",11,11,11
ID1270,Merge Q3430,medxpert,3,"1,3,5","1,3,6",7,7,7
ID1271,Merge Q1144,medbullets,6,"1,3,4,5,6,8","1,4,5,7,8,10",11,10,10
ID1272,Merge Q3982,mmlu,4,"2,5,10,11","1,2,8,11",12,12,12
ID1273,Merge Q549,jama,3,"6,12,13","1,6,8",13,12,12
ID1277,Merge Q4002,mmlu,6,"1,2,3,6,7,8","1,2,3,5,7,8",8,8,8
ID1278,Merge Q1271,medbullets,4,"1,2,4,10","2,4,6,11",11,11,11
ID1279,Merge Q1046,medbullets,6,"4,5,6,7,9,13","1,2,3,9,11,13",13,13,13
ID1280,Merge Q1543,medxpert,2,"2,5","1,5",6,6,6
ID1284,Merge Q1961,medxpert,3,"2,3,4","1,2,4",4,4,4
ID1285,Merge Q373,jama,6,"1,3,4,5,6,7","1,2,3,5,6,7",9,9,9
ID1287,Merge Q3919,mmlu,5,"3,5,6,7,10","1,5,7,10,14",15,16,16
ID1288,Merge Q297,jama,7,"1,3,4,5,6,7,8","1,2,3,4,6,7,8",8,8,8
ID1290,Merge Q545,jama,5,"1,2,3,4,5","1,2,3,4,5",5,3,3
ID1294,Merge Q1757,medxpert,2,"3,5","1,5",5,5,5
ID1296,Merge Q3873,mmlu,5,"1,7,8,10,11","1,7,8,9,10",11,11,11
ID1297,Merge Q3829,mmlu,2,"2,4","3,4",4,4,4
ID1298,Merge Q3416,medxpert,1,4,1,6,6,6
ID1299,Merge Q1914,medxpert,4,"1,2,4,7","1,5,6,7",7,7,7
ID1302,Merge Q4012,mmlu,4,"1,4,5,6","1,4,5,6",6,6,6
ID1307,Merge Q1260,medbullets,3,"1,3,7","3,4,5",7,7,7
ID1308,Merge Q45,jama,12,"1,2,3,4,6,7,8,9,10,11,12,13","1,2,3,4,5,6,7,9,10,11,12,13",13,13,13
ID1309,Merge Q2077,medxpert,2,"1,3","1,3",3,3,3
ID1310,Merge Q3845,mmlu,6,"1,3,5,6,7,8","4,5,6,7,8,9",8,8,8
ID1313,Merge Q1290,medbullets,4,"1,2,3,6","1,2,3,6",8,8,8
ID1316,Merge Q3797,mmlu,3,"1,4,5","1,2,5",5,5,5
ID1318,Merge Q269,jama,6,"1,2,3,5,8,12","1,2,5,8,12,13",14,13,13
ID1320,Merge Q172,jama,8,"1,2,3,6,7,8,9,10","1,2,3,4,6,7,8,10",10,10,10
ID1321,Merge Q508,jama,3,"1,2,4","1,5,6",6,6,5
ID1324,Merge Q1527,medxpert,3,"1,2,3","1,2,3",3,3,3
ID1328,Merge Q3026,medxpert,5,"1,3,5,7,8","1,3,5,6,8",8,8,8
ID1329,Merge Q1268,medbullets,5,"1,2,3,4,6","1,2,4,5,6",6,7,6
ID1330,Merge Q3897,mmlu,2,"2,3","2,3",3,3,3
ID1331,Merge Q3961,mmlu,10,"1,2,3,4,5,6,7,8,10,11","1,2,3,5,6,7,8,9,10,11",11,13,13
ID1332,Merge Q658,jama,11,"1,2,4,5,7,8,9,11,13,14,16","1,2,3,4,5,11,13,14,15,16,17",17,14,14
ID1333,Merge Q3342,medxpert,6,"1,2,4,6,7,10","2,4,6,7,8,9",11,11,11
ID1335,Merge Q3833,mmlu,7,"2,3,4,5,7,8,10","1,2,4,5,6,9,10",10,9,9
ID1336,Merge Q3786,mmlu,4,"1,6,9,11","8,9,10,11",11,11,11
ID1338,Merge Q1174,medbullets,4,"1,3,4,6","1,2,3,6",9,10,9
