Origin,Qwen72B_High_Relevance,question_options,data_source_corr_x,Correct answer
ID0243,"1. A 56-year-old man with hypertension presented with 2 weeks of acute ptosis in the left upper eyelid.   2. Three weeks prior, the patient had noted severe left-sided facial pain.   5. During the course of the workup, the patient had undergone computed tomography (CT) of the head and chest, magnetic resonance imaging (MRI) of the brain, and carotid duplex ultrasonography.   12. External examination demonstrated a left-sided ptosis (Figure 1).   17. External photograph demonstrating ptosis of the left upper eyelid.   18. Magnetic resonance angiography of the brain and neck","What Would You Do Next?

A: Edrophonium test  
B: Oculoplastic referral for ptosis repair  
C: Magnetic resonance angiography of the brain and neck  
D: Sumatriptan injection",jama,C
ID0244,"2. Initially, she attributed her mother's forgetfulness and word-finding difficulties to normal aging, but over the past few years, her mother's memory has worsened, her mood has grown more irritable, and her mother has been found wandering the neighborhood unsure of how to get home. 6. She scores 16/30 on the Montreal Cognitive Assessment (MoCA) test.","Which of the following is the most likely diagnosis?

A. Normal pressure hydrocephalus  
B. Frontotemporal dementia  
C. Alzheimer dementia  
D. Creutzfeldt-Jakob disease",medbullets,C
ID0247,8. Physical exam reveals sparse hair that is falling out throughout the patient’s body. 9. He has a rash by the corners of his mouth. 10. The patient has multiple loose bowel movements and on day 6 the patient’s surgical wound does not appear to be healing. 11. It is held together only by the sutures with minimal underlying healing.,"Which of the following is most likely deficient in this patient?

A. Thiamine  
B. Vitamin C  
C. Zinc  
D. Riboflavin",medbullets,C
ID0249,"9. On physical exam, he is found to have a 3 cm full-thickness defect in the abdominal wall to the right of the umbilicus with evisceration of a loop of the bowel.","This condition is most likely associated with which of the following additional findings?

A. Ventricular septal defect  
B. Bicuspid aortic valve  
C. A normal cardiac exam  
D. Tetralogy of Fallot",medbullets,C
ID0251,"3. Her present medications include furosemide and digoxin. 4. Physical examination is normal except for a weight loss of 3.5 kg (7 lb) during the past 3 months. 6. Nothing tastes good to me. I have a little bit of nausea most of the time.""","Which of the following is the most appropriate initial diagnostic study?

A. Chest x-ray

B. Complete blood count

C. Determination of serum albumin concentration

D. Determination of serum digoxin level",mmlu,D
ID0253,3. Examination of the right forearm shows edema around a fluctuant erythematous lesion at the site of trauma. 4. The area is extremely tender to palpation.,"Which of the following is most likely the primary mechanism of the development of edema in this patient?

A. Disruption of vascular basement membranes

B. Increased hydrostatic pressure

C. Release of thromboxane

D. Separation of endothelial junctions",mmlu,D
ID0254,"1. A school-aged boy experienced generalized erythematous rashes for 4 years. 2. Skin examination showed ichthyosiform brownish plaques on his lower extremities and multiple erythematous confluent papules and plaques on his trunk and face (Figure, A and B). 4. In addition, painful distal and proximal interphalangeal joints were noted for 2 years, and the patient could not clench his fists. 5. Uveitis in both eyes was also diagnosed by an ophthalmologist. 7. A skin biopsy specimen was obtained and submitted for further histopathologic analysis (Figure, C and D). 8. A, Diffuse erythematous papules and plaques with mild scaling and some confluence on the face, neck, and trunk. 9. B, Ichthyosiform rashes predominantly distributed over the lower extremities. 10. C, Tissue biopsy results revealed multiple circumscribed nests of granulomas that were infiltrating the dermis and subcutis (hematoxylin-eosin). 11. D, At higher magnification, histologic findings showed noncaseating granulomas with multinucleated giant cells and neutrophil infiltration in the dermis and subcutis (hematoxylin-eosin).","What Is Your Diagnosis?

A: Ichthyosis vulgaris  
B: Netherton syndrome  
C: Pityriasis rubra pilaris  
D: Blau syndrome",jama,D
ID0256,"1. A 25-year-old gravida 3 para 2 female is admitted to the hospital at 39 weeks' gestation in active labor. 2. She had been having regular contractions every 4 minutes, but is now having only a few intermittent, weak contractions. 4. Examination shows no reason for obstructed labor. 5. The fetal head is engaged, the membranes are intact, the fetal heart tones are normal, and the cervix is 100% effaced and 7 cm dilated.","The most appropriate management is to

A. administer an epidural anesthetic

B. administer tocolytic therapy

C. apply cervical topical corticosteroids

D. augment the labor with oxytocin",mmlu,D
ID0262,"1. A 72-year-old female patient presents for follow-up of hypertension and reports noticing a swelling in the anterior triangle of her neck over the past 12 to 18 months. 5. A 2- to 3-cm swelling is observed at the base of the neck, just to the right of the trachea, which moves upward with swallowing. 6. The swelling is non-tender, not tethered to the skin, and there is no lymphadenopathy. 8. Laboratory results are as follows:

|  | Patient value | Reference range |
| --- | --- | --- |
| Thyroid-stimulating hormone (μU/mL) | 0.03 | 0.5–4.7 |
| Calcium (mg/dL) | 9.4 | 9.0–10.5 |
| Phosphorus (mg/dL) | 3.6 | 3.0–4.5 |
| Albumin (g/dL) | 3.8 | 3.5–5.5 |

The complete blood count is within normal limits.","What is the most appropriate next step in evaluating this patient?

A. Surgical excision of the nodule for histopathology  
B. PET scan to evaluate for malignancy  
C. Thyroid ultrasound and fine-needle aspiration of the nodule  
D. Repeat TSH measurement in 6 weeks  
E. Empirical treatment with antithyroid medication  
F. Measurement of thyroid-stimulating immunoglobulin  
G. CT scan of the neck and chest  
H. Radionuclide scanning with iodine-123  
I. Measurement of free T4 and total T3 levels  
J. Fine-needle aspiration without imaging guidance",medxpert,H
ID0265,3. The health insurer for the workers has provided claims data that documents all chest x-rays and diagnoses of mesothelioma among current workers and retirees. 4. The study enrolled shipyard workers who were diagnosed with mesothelioma and shipyard workers who were not diagnosed with mesothelioma. 5. All subjects in the study had to have chest xrays.,"Which of the following is the best rationale for selecting a comparison group that had chest x-rays?

A. Address confounding

B. Demonstrate causality

C. Minimize ascertainment bias

D. Reduce recall bias",mmlu,C
ID0268,"3. On examination, her visual acuity with habitual correction had decreased to 20/60 OD and 20/40 OS from 20/30 OU 2 years prior.   5. On a dilated fundus examination, there was 2+ vitreous cell and floaters in both eyes and a blonde fundus in both eyes.   6. Optical coherence tomography imaging confirmed cystoid macular edema (CME) in both eyes; the right eye had cystoid spaces in the inner nuclear, outer plexiform, and outer nuclear layers, and the left eye had small cystoid spaces in the inner nuclear layer (Figure, A and B).   7. Fluorescein angiography showed leakage of the optic nerve in the right eye, with petaloid leakage in the macular right eye worse than in the left eye.   9. Additionally, 4 months prior, the patient developed trigeminal neuralgia, with a magnetic resonance image with contrast of the brain revealing an enhancing mass in the right middle cranial fossa, extending into the Meckel cave and abutting the right trigeminal nerve (Figure, C).   10. A, Optical coherence tomography (OCT) image showing the right eye had cystoid spaces in the inner nuclear, outer plexiform, and outer nuclear layers.   11. B, OCT image showing that the left eye had trace cystoid spaces in the inner nuclear layer.   12. C, Axial T1 postcontrast magnetic resonance image showing an enhancing mass filling and expanding the Meckel cave (asterisk).  ","What Would You Do Next?  
A: Reassure her and do nothing  
B: Give an intravitreal anti-VEGF injection  
C: Perform a vitrectomy with cytology and immunohistochemistry  
D: Recommend a temporal craniotomy with a brain biopsy",jama,C
ID0270,"2. The daughter says, ""I visited Mom today for the first time in 6 months; her memory has worsened, her bills are unpaid, and her house is unusually messy."" The patient says, ""I'm perfectly healthy."" Medical history is significant for hypertension diagnosed more than 25 years ago, and two small strokes occurring 3 years and 7 months ago. 7. Muscle strength in her left hand is 1/5. 8. Strength in the right extremities is 4/5. 9. The patient is oriented only to self; she does not know the day of the week or today's date. 10. She recalls 0 of 3 words at 5 minutes, and she is unable to name 2 objects, correctly draw interlocking pentagons, or count backwards by serial sevens.","Which of the following is the most likely underlying cause of the patient's symptoms?

A. Amyotrophic lateral sclerosis

B. Cortical basal ganglionic degeneration

C. Neurosyphilis

D. Vascular dementia",mmlu,D
ID0275,1. A 36-year-old woman is brought to the emergency department to be evaluated for right knee pain and swelling.   2. The patient participated in a soccer match when she jumped and landed on her right foot with her right knee partially flexed.   3. She subsequently heard a “pop” and developed swelling around her knee.   7. Physical examination shows a large effusion over the right knee.   8. The patient is unable to bear weight or extend the knee.   9. X-ray of the knee shows a large effusion with a low-lying patella.,"Which of the following additional findings will likely be seen on physical examination?

A. Anterior translation of the tibia against a fixed femur  
B. Inability to perform a straight-leg raise without pain  
C. Palpable defect superior to the patella  
D. Posterior knee and calf swelling  
E. Crepitus with passive knee flexion and extension  
F. Medial joint line tenderness with valgus stress testing  
G. Tenderness over the patellar tendon with no palpable defect  
H. Posterior translation of the tibia against a fixed femur  
I. Palpable defect inferior to the patella  
J. Lateral deviation of the patella with resisted knee extension",medxpert,C
ID0278,"2. Ten weeks previously, he was hospitalized and conservatively managed for acute pancreatitis. 3. He had a history of prolonged alcohol abuse. 4. A physical examination revealed stable vital signs and a normothermic, nontender, nonpulsatile, fixed lump in his upper abdomen (Figure, A). 6. His serum amylase level was 487 U/L (normal range, 28-100 U/L [to convert to microkatals per liter, multiply by 0.0167]). 8. The scan reveals a homogeneous collection of fluid (black arrowhead) encysted by a well-defined enhancing wall (yellow arrowhead).","What Is Your Diagnosis?

A: Mesenteric cyst  
B: Gastric duplication cyst  
C: Pancreatic pseudocyst  
D: Walled-off pancreatic necrosis",jama,C
ID0281,"1. A 15-year-old girl presents with a 7-month history of absent menstrual periods.   6. On examination, her BMI is at the third percentile, with a weight loss of 4.5 kg since her last visit 9 months ago.  ","Which laboratory result is most likely to explain this patient’s amenorrhea?

A. Low follicle-stimulating hormone level  
B. Elevated cortisol level  
C. Elevated prolactin level  
D. Normal gonadotropin levels  
E. Elevated thyroid-stimulating hormone level  
F. Increased androgens  
G. Increased thyroid-stimulating hormone level  
H. Elevated free T4 level  
I. Decreased leptin level  
J. Low estradiol level",medxpert,A
ID0284,"1. A 74-year-old woman with a history of hyperlipidemia presents with a 6-month history of activity-induced right-arm pain and achiness accompanied by localized muscle fatigue, which has progressively worsened. 3. The pain is triggered by activity and resolves with rest. 6. On physical examination, her blood pressure is 106/74 mm Hg in the right arm and 132/86 mm Hg in the left arm. 7. A diminished radial pulse is noted in the right arm.","What is the most likely diagnosis in this patient?

A. Buerger disease  
B. Atherosclerotic peripheral artery disease  
C. Fibromuscular dysplasia  
D. Polymyalgia rheumatica  
E. Raynaud phenomenon  
F. Subclavian steal syndrome  
G. Thoracic-outlet obstruction  
H. Carotid artery stenosis  
I. Giant-cell arteritis  
J. Takayasu arteritis",medxpert,I
ID0291,"7. There is a 2 cm superficial laceration within a well-circumscribed area of erythema, edema, and ecchymosis at the base of the skull.   8. The cranial rhythmic impulse (CRI) is about 6 cycles per minute, and there is a moderate decrease in the amplitude of the components of its cycles.","Which of the following would be an expected additional finding in this patient?  

B. Unilateral sacral flexion  
C. Torsion of the sacrum around an oblique axis  
D. Decreased sacral nutation  
E. Decreased amplitude of the occipital motion during cranial flexion  
F. Bilateral sacral flexion  
G. Bilateral sacral extension  
H. Compression of the sphenobasilar synchondrosis  
I. Increased sacral nutation  
J. Unilateral sacral extension",medxpert,D
ID0292,"1. A 24-year-old primigravida woman at 31 weeks' gestation is hospitalized with a blood pressure of 145/92 mm Hg and a urine dipstick showing 1+ proteinuria. 3. During 24 hours of inpatient monitoring, she has no neurologic symptoms, visual changes, peripheral edema, or right upper quadrant pain. 4. Her systolic blood pressure ranges from 142 to 148 mm Hg, her diastolic blood pressure ranges from 90 to 96 mm Hg, and her heart rate ranges from 79 to 92 beats per minute. 6. Her laboratory results are as follows:

|  | Patient value | Reference range |
| --- | --- | --- |
| Hematocrit (%) | 37 | 28–40 |
| Platelet count (per mm3) | 350,000 | 146,000–429,000 |
| Creatinine (mg/dL) | 0.7 | 0.4–0.9 |
| Alanine aminotransferase (U/liter) | 10 | 2–25 |
| Aspartate aminotransferase (U/liter) | 14 | 4–32 |
| 24-hour protein excretion (mg) | 325 | 0–254 |
| Urine protein-to-creatinine ratio (mg/mg) | 0.35 | <0.20 |

A nonstress test is reactive with a baseline heart rate of 140 beats per minute with moderate variability, adequate accelerations, and no decelerations.","Which one of the following next steps is most appropriate in this patient's care?

A. Start magnesium sulfate, and plan for induction of labor  
B. Start methyldopa and continue inpatient monitoring for 48 hours  
C. Administer furosemide and schedule follow-up in 3 days  
D. Initiate induction of labor with cervical ripening  
E. Start hydralazine and admit for continuous fetal monitoring  
F. Initiate immediate delivery by cesarean section  
G. Start labetalol, and discharge for outpatient management, with clinic visits and fetal monitoring scheduled at short intervals  
H. Start magnesium sulfate and continue to monitor in the hospital  
I. Start nifedipine and schedule follow-up in one week  
J. Administer betamethasone and continue expectant management without antihypertensive therapy",medxpert,G
ID0293,"1. A 13-month-old boy is in the pediatric intensive care unit (PICU) with bronchiolitis and impending respiratory failure.   3. During his current hospitalization, he has undergone several trials of noninvasive support, but he continues to have markedly increased work of breathing, with blood gas testing confirming hypercapnia.   4. A decision is made to intubate the patient and place him on mechanical ventilation.","Which one of the following endotracheal tubes is most appropriate to use on the initial intubation attempt in this patient?

A. 4.5-mm cuffed endotracheal tube  
B. 3.5-mm cuffed endotracheal tube  
C. 4.5-mm uncuffed endotracheal tube  
D. 3.0-mm cuffed endotracheal tube  
E. 3.0-mm reinforced endotracheal tube  
F. 4.0-mm uncuffed endotracheal tube  
G. 3.0-mm uncuffed endotracheal tube  
H. 4.0-mm cuffed endotracheal tube  
I. 2.5-mm cuffed endotracheal tube  
J. 3.5-mm uncuffed endotracheal tube",medxpert,B
ID0296,"1. A 21-year-old woman presented with foggy vision of her right eye that began 5 months prior. 3. She had a history of “multiple lasers” of her right eye and blindness of her left eye from an unrepaired retinal detachment. 6. Visual acuity was 20/200 OD and no light perception OS. 7. Anterior segment examination was unremarkable in the right eye and revealed phthisis bulbi of the left eye. 8. Dilated fundus examination of the right eye revealed prominent, engorged, and tortuous vessels with traction extending from the optic disc to the superior peripheral retina. 9. There was an associated thick fibrotic epiretinal membrane extending from the macula to the superior peripheral retina. 10. The retinal arterioles were attenuated and there was thickening of the macula with subretinal fluid found on optical coherence tomography. 11. In the superior retinal periphery, there was an orange, round, circumscribed mass with overlying tractional retinal detachment and numerous other smaller orange masses (Figure 1A). 12. Fluorescein angiography of her right eye showed early hyperfluorescence of the lesions with late leakage (Figure 1B). 13. A, Wide-field scanning laser image of right fundus showing a round mass with an overlying tractional retinal detachment. 14. Associated engorged and tortuous vessels emanate from the optic disc. 15. B, Wide-field scanning laser fluorescein angiographic late-phase frame of right fundus demonstrating late leakage of engorged vessels.","What Would You Do Next?

A: Conduct complete blood cell count  
B: Conduct genetic testing  
C: Refer for magnetic resonance imaging  
D: Perform retinal biopsy",jama,C
ID0297,"1. A 55-year-old woman diagnosed with invasive ductal carcinoma of the left breast (T3N1M0, stage IIIA) in December 2012 was treated with neoadjuvant chemotherapy comprising docetaxel (75 mg/m2) and trastuzumab (8 mg/kg initially, then 6 mg/kg every 3 weeks), followed by 3 courses of epirubicin (90 mg/m2) and cyclophosphamide (600 mg/m2), prior to modified radical mastectomy of the left breast. 2. In September 2013, she began receiving trastuzumab treatment and received adjuvant radiotherapy (5000 Gy in 25 fractions) 1 month later. 3. In June 2014, she developed a generalized nonpruritic, nontender rash, without fevers or other constitutional symptoms. 4. Physical examination showed multiple red-brown plaques and papules of various sizes on the chest, abdomen, back, and limbs (Figure 1).","What Would You Do Next?

A: Discontinue trastuzumab  
B: Obtain a skin biopsy  
C: Prescribe topical steroids  
D: Perform a screening test for syphilis (rapid plasma reagin)",jama,B
ID0298,1. Parents bring their 8-year-old son to the physician due to mild abdominal discomfort and diarrhea that began shortly after returning from summer camp a few days ago. 4. The physician makes a diagnosis through laboratory testing that requires mandatory reporting to the Centers for Disease Control and Prevention (CDC).,"Which pathogen is the most probable cause of this child's symptoms?

A. *Escherichia coli* O157:H7  
B. *Giardia lamblia*  
C. *Campylobacter jejuni*  
D. *Salmonella enterica*  
E. Rotavirus  
F. *Entamoeba histolytica*  
G. *Cyclospora cayetanensis*  
H. *Cryptosporidium*  
I. *Naegleria fowleri*  
J. *Vibrio cholerae*",medxpert,H
ID0300,"1. A healthy 27-year-old woman received a COVID-19 mRNA booster vaccine (Moderna) on December 7, 2021. 3. Twelve days after the booster vaccination, she developed pruritic wheals on her face and bilateral, transient eyelid swelling. 4. Over the next week, a pruritic rash spread over her neck, chest, trunk, and arms; each lesion faded without scarring within 24 hours. 5. She did not experience lip, tongue, or neck swelling; shortness of breath; wheezing; chest pain; or palpitations. 6. Application of pressure to her forearm in a circular motion using a pen cap elicited wheal and flare lesions (Figure, left panel). 9. Wheal and flare lesions developed on her upper eyelids during the examination and resolved after approximately 30 minutes (Figure, right panel). 10. Light pressure applied to her skin with a tongue depressor elicited wheal and flare lesions within 3 to 5 minutes.Wheal and flare lesions on patient’s forearm (left) and eyelids (right).The patient had no history of atopy, urticaria, angioedema, or food or drug allergy and no recent infections.","What Would You Do Next?

A: Advise the patient against future COVID-19 mRNA vaccination because of allergy  
B: Prescribe a preloaded epinephrine autoinjector and refer for allergy testing  
C: Prescribe a nonsedating antihistamine at a standard dose and increase to high-dose antihistamine if symptoms persist  
D: Prescribe oral prednisone (60 mg per day for 5 days)",jama,C
ID0302,"1. A 25-year-old woman with a history of ulcerative colitis (UC) presented to the emergency department with lower abdominal pain. 2. She received a diagnosis of UC 6 years earlier and has taken mesalamine to control UC. 3. She was discharged a week before this admission for a UC flare that was managed with prednisone. 5. Her last colonoscopy was 3 years ago, and UC without evidence of dysplasia was confirmed. 9. Her abdomen was tender to palpation in the left lower quadrant, which was soft and nondistended. 11. Computed tomographic scan of the abdomen/pelvis demonstrated a thickened colon from the middescending colon to the rectosigmoid. 12. There was also a 2.7-cm intramural abscess in the descending colon. 13. She started receiving piperacillin/tazobactam but began to have increased abdominal pain, emesis, and inability to tolerate oral intake. 14. A repeated computed tomographic scan performed 4 days after the original scan demonstrated that the intramural mass had increased to 3.5 cm and was partially obstructing the descending colon. 15. She underwent a colonoscopy, which demonstrated multiple areas of inflammation in the rectum through the descending colon (Figure 1).","What Is Your Diagnosis?

A: Ulcerative colitis flare  
B: Conversion to Crohn disease  
C: Adenocarcinoma  
D: Lymphoma",jama,C
ID0303,"1. A 31-year-old woman, G3P2, presents at 33 weeks' gestation (confirmed by last menstrual period and early ultrasound) with contractions occurring every 10 minutes for the past 5 hours. 4. Her obstetric history includes two previous spontaneous preterm deliveries at 36+5 and 34+3 weeks. 5. She has been receiving prophylactic intramuscular 17-hydroxyprogesterone since week 16 of this otherwise uncomplicated pregnancy. 8. Cervical examination demonstrates 10 mm length with funneling, 2 cm dilation, and intact membranes.","Along with betamethasone administration, which of the following is the most appropriate therapeutic intervention?

A. Indomethacin  
B. Cerclage  
C. Amnioinfusion  
D. Progesterone pessary  
E. Magnesium sulfate  
F. Nifedipine  
G. Terbutaline  
H. Ritodrine  
I. Antibiotics for group B streptococcus prophylaxis  
J. Oxytocin",medxpert,F
ID0304,1. A 45-year-old male with a history of schizophrenia is brought to the emergency department and subsequently admitted to the psychiatric ward due to delusions and hallucinations. 5. His medical records indicate a possible history of substance abuse.,"Among patients with this psychiatric condition, which substance shows the highest rate of use compared to the general population?

A. Inhalants  
B. Marijuana  
C. Alcohol  
D. Benzodiazepines  
E. Synthetic cannabinoids  
F. Prescription opioids  
G. Methamphetamine  
H. Hallucinogens  
I. Nicotine  
J. Cocaine",medxpert,I
ID0305,"1. A 44-year-old woman presents to the emergency department with fluctuating right upper quadrant abdominal pain. 6. On exam, the patient is an obese woman with pain upon palpation of the right upper quadrant. 7. Initial labs are are below:

Na+: 140 mEq/L
K+: 4.0 mEq/L
Cl-: 100 mEq/L
HCO3-: 24 mEq/L
AST: 100 U/L
ALT: 110 U/L
Amylase: 30 U/L
Alkaline phosphatase: 125 U/L

Bilirubin
Total: 2.5 mg/dL
Direct: 1.8 mg/dL

The patient is sent for a right upper quadrant ultrasound demonstrating an absence of stones, no pericholecystic fluid, a normal gallbladder contour and no abnormalities noted in the common bile duct. 8. MRCP with secretin infusion is performed demonstrating patent biliary and pancreatic ductal systems.","Which of the following is the most appropriate next step in management?

A. Laparoscopy  
B. ERCP with manometry  
C. Analgesics and await resolution of symptoms  
D. MRI of the abdomen",medbullets,B
ID0307,"1. A 34-year-old woman comes to the office because of a 3- to 4-week history of swelling of her legs and a 9-kg (20-lb) weight gain. 7. Today, vital signs are temperature 37.2°C (99.0°F), pulse 88/min, respirations 16/min, and blood pressure 145/95 mm Hg. 8. Physical examination discloses periorbital edema but no jugular venous distention. 11. Abdominal examination discloses bulging flanks and shifting dullness to percussion. 12. Examination of the lower extremities shows pitting edema from the mid thigh to the ankles bilaterally.","Results of which of the following studies are most likely to be abnormal in this patient?

A. HIV antibody study

B. Serum B-type natriuretic peptide concentration

C. Toxicology screening of the urine

D. Urine protein concentration",mmlu,D
ID0309,"4. While holding her newborn, the mother endorses a headache, blurry vision, and abdominal pain. 5. Her temperature is 98.0°F (36.7°C), blood pressure is 194/104 mmHg, pulse is 100/min, respirations are 18/min, and oxygen saturation is 98% on room air.","Which of the following is the most appropriate next step in management?

A. Magnesium  
B. Labetalol  
C. Ondansetron and morphine  
D. CT head",medbullets,A
ID0310,"2. Vision was 20/250 OD and 20/60 OS. 3. The anterior segment was unremarkable in either eye, while the posterior segment examination noted 1+ vitreous cell, asteroid hyalosis, and a multilobulated, serous retinal detachment (RD) in the right eye and trace vitreous cell and a multilobulated, serous RD in the left eye. 4. Imaging included B-scan, optical coherence tomography, and fundus autofluorescence, which revealed diffuse choroidal and ciliary body thickening, multifocal pockets of subretinal fluid, and speckled hyperautofluorescence and hypoautofluorescence in both eyes (Figure 1). 7. A focused laboratory evaluation identified a significantly elevated angiotensin-converting enzyme (ACE) level and antinuclear antibody titer, but serum lysozyme, syphilis, and tuberculosis testing had negative results. 8. To better differentiate between Vogt-Koyanagi-Harada (VKH) syndrome, a lymphoproliferative disorder, or sarcoidosis as the underlying cause of the vitreous inflammation and multilobulated, serous RD in both eyes, a computed tomographic scan was performed. 9. It showed marked lymphadenopathy throughout the mediastinum and diffuse scleral thickening in both eyes. 10. The institute’s radiologists believed these computed tomography findings were nonspecific and could be indicative of either sarcoidosis or intraocular lymphoma.Vogt-Koyanagi-Harada syndrome–like presentation of multilobulated pockets of subretinal fluid and choroidal thickening and undulations. 11. A, Serous retinal detachment (asterisk). 12. B, Substantial choroidal thickening (asterisk) and undulations and multilobulated subretinal fluid (arrowheads).","What Would You Do Next?

A: Perform a diagnostic vitrectomy in the right eye  
B: Inject intravitreal antibiotics for endophthalmitis in both eyes  
C: Perform ciliary body–choroidal biopsy in the right eye  
D: Treat the patient with systemic steroids for presumed VKH syndrome",jama,C
ID0313,1. A 76-year-old man comes to the office because of early awakening at night. 2. He has no difficulty falling asleep but routinely wakes up between 2:00 and 3:00 AM. 6. Before retiring at night he has one alcoholic beverage.,"Which of the following is the most appropriate management of this patient's insomnia?

A. Advise the patient to discontinue his bedtime drink of alcohol

B. Advise the patient to read and snack in bed to relax

C. Prescribe a vigorous pre-bedtime exercise regimen

D. Prescribe sertraline",mmlu,A
ID0314,1. A 15-year-old girl is brought to the clinic because her mother is worried the patient has not yet had her period. 9. Physical exam shows absent breast development and external genitalia at Tanner stage 1. 10. Serum follicle-stimulating hormone (FSH) level is measured to be 38 mIU/mL.,"Which of the following is the most appropriate next diagnostic step?

A. CYP17 gene work-up  
B. Gonadotrophin-releasing hormone stimulation test  
C. Karotype  
D. Luteinizing hormone levels",medbullets,C
ID0315,"1. A 40-year-old female secretary comes to the office because of a 2-month history of fatigue, and generalized aching and weakness of the proximal muscles of all four extremities. 2. The patient initially noticed the weakness only while she was getting in and out of her car, but during the past 2 weeks, the weakness has progressed, so that she now has difficulty combing her hair. 11. The muscles of the upper arms and legs are somewhat tender to pressure. 12. Results of serum laboratory studies show a creatine kinase concentration of 600 U/L and a lactate dehydrogenase concentration of 800 U/L.","Which of the following is the most likely diagnosis?

A. Fibromyalgia

B. Myasthenia gravis

C. Polymyositis

D. Scleroderma",mmlu,C
ID0317,1. A 26-year-old female presents for medical consultation following three pregnancy losses over a two-year period.,"Which combination of diagnostic tests would be most appropriate in this case?

A. Antiphospholipid antibody testing, pelvic ultrasound, and thrombophilia workup  
B. Parental karyotype, thrombophilia workup, and pelvic ultrasound  
C. Antiphospholipid antibody testing, hysterosalpingogram, and thrombophilia workup  
D. Parental karyotype, pelvic ultrasound, and thyroid testing  
E. Antiphospholipid antibody testing, thyroid testing, and parental karyotype  
F. Antiphospholipid antibody testing, hysterosalpingogram, and parental karyotype  
G. Thyroid testing, pelvic ultrasound, and thrombophilia workup  
H. Antiphospholipid antibody testing, pelvic ultrasound, and thyroid testing  
I. Hysterosalpingogram, pelvic ultrasound, and thrombophilia workup  
J. Antiphospholipid antibody testing, thyroid testing, thrombophilia workup, and hysterosalpingogram",medxpert,F
ID0320,1. A 56-year-old woman is evaluated for a 9-mm pituitary adenoma that was incidentally discovered during a brain MRI performed for persistent left-sided migraines. 2. A subsequent pituitary-protocol MRI confirms that the lesion is confined to the sella without suprasellar extension or pituitary stalk involvement. 3. She denies visual disturbances or symptoms of hypercortisolism. 6. Her fasting serum prolactin level is 107 ng/mL (reference range: 0–20) and remains elevated at 102 ng/mL on repeat testing.,"What is the most appropriate next step in managing this patient?

A. Reassure the patient that no immediate treatment is indicated; consider another MRI in 1 to 2 years  
B. Repeat prolactin levels after a dopamine agonist withdrawal period  
C. Initiate high-dose cabergoline therapy to normalize prolactin levels  
D. Begin bromocriptine 2.5 mg daily; remeasure the prolactin level in 1 month  
E. Perform visual field testing to assess for optic chiasm compression  
F. Begin cabergoline 0.25 mg twice weekly; remeasure the prolactin level in 3 months  
G. Refer the patient for radiation therapy to reduce adenoma size  
H. Initiate hormone replacement therapy to normalize estradiol levels  
I. Measure serum cortisol and ACTH levels to rule out subclinical Cushing syndrome  
J. Perform transsphenoidal surgery to remove the pituitary adenoma",medxpert,A
ID0321,"1. A previously healthy 7-year-old boy was admitted to the hospital with 1 week of temperatures up to 40.2 °C (104.4 °F), productive cough, and lethargy, which did not improve after 3 days of oral cefuroxime.   2. He lived in rural China and had close contact with dogs, cattle, and sheep.   4. Lung auscultation revealed absent breath sounds on the right hemithorax.   6. His white blood cell count was 8000/μL, with 25.8% eosinophils (reference range, 0%-9%).   8. A thoracoabdominal computed tomography (CT) scan showed a ruptured 10 × 9 × 5–cm right upper lobe pulmonary cyst compressing the right main bronchus and 3 liver cysts (Figure 1).Left, Chest computed tomography (CT) scan (transverse view) showing a giant cystic mass in the right upper lobe of the lung with rupture and compression of the right main bronchus.   9. Right, Abdominal CT scan (coronal view) showing 3 round water-density cysts in the right anterior lobe, right posterior lobe, and left lateral lobe of the liver.","What Would You Do Next?

A: Check stool for Echinococcus granulosus eggs  
B: Obtain serologic testing for E granulosus antibodies  
C: Order a lung biopsy  
D: Perform a liver biopsy",jama,B
ID0324,"1. A man in his 50s with a history of both hypertension and a pulmonary tumor that was resected 10 years earlier (Figure, A) presented with generalized phymatous changes affecting his entire face, as well as a few pustular lesions and a diffuse erythema that gave him an appearance of leonine facies (Figure, B). 2. He complained of substantial, progressive seborrheic hyperplasia and flushing episodes over the past year, accompanied by ocular manifestations that included swelling of his eyelids. 4. Detailed anamnesis revealed a history of intense diarrhea in prior months. 7. A, Immunohistochemical analysis of the earlier lung tumor using chromogranin A; panoramic view shows that most of the cells diffusely express chromogranin (original magnification ×20). 8. B, Leonine facies presentation shows phymatous changes, diffuse erythema, pustular lesions, and seborrheic hyperplasia. 10. D, Liver computed tomographic (CT) image showing multiple metastatic hepatic masses.","What Is Your Diagnosis?

A: Leprosy  
B: Mastocytosis  
C: Carcinoid syndrome  
D: Leishmaniasis",jama,C
ID0325,7. Her family history is notable for coronary artery disease on her father's side and colon cancer on her mother's side. 8. She last had a colonoscopy 5 years ago that revealed no abnormal findings.,"What diagnostic test should this patient receive?

A. Chest radiograph  
B. Mammography  
C. Colonoscopy  
D. Vitamin D level",medbullets,B
