Origin,human_sentence_ids,keep_k
ID0954,"1, 4, 6, 7, 8, 9, 10, 12",8
ID0957,"1, 3, 6, 7, 8, 9",6
ID0961,"1, 2, 3, 4, 5",5
ID0962,"1, 4, 5, 7, 8",5
ID0963,"1, 6",2
ID0965,"1, 2, 7",3
ID0967,"1, 2, 5, 6",4
ID0968,"1, 2, 5",3
ID0969,"1, 5, 6, 7, 8, 9, 10",7
ID0970,"1, 2, 3, 6, 8",5
ID0972,"3, 4, 5",3
ID0973,"1, 2, 14, 15, 17",5
ID0974,"1, 6",2
ID0976,"1, 3, 4",3
ID0977,"1, 2, 5, 6, 7, 8, 10, 11, 14, 15",10
ID0979,"1, 7, 8",3
ID0981,"1, 2, 3, 5, 8, 10, 11",7
ID0982,"1, 2, 3, 5, 6, 7, 8",7
ID0987,"1, 2, 3, 4, 5, 6",6
ID0990,"2, 3, 4, 5, 7, 10, 11",7
ID0991,"1, 2, 8, 9, 10",5
ID0992,"1, 3, 4",3
ID0993,"1, 2, 4, 9, 10, 11, 12",7
ID0994,"1, 2, 3, 4, 5, 7, 8",7
ID0996,"1, 2, 3, 4, 5, 6, 7, 12",8
ID0998,"1, 2, 4, 6, 9, 10, 11, 14",8
ID0999,"1, 2, 3, 10",4
ID1001,"1, 2, 6, 7, 12, 13",6
ID1002,"1, 2, 3, 4, 6, 10, 14, 15, 16, 17, 18, 19, 20",17
ID1005,"1, 5, 7",3
ID1006,"1, 2, 4, 5, 7, 8",6
ID1009,"1, 2, 3, 4, 5, 8, 9, 10",8
ID1011,"1, 2, 7, 8, 10, 11, 12, 13",8
ID1013,"1, 3",2
ID1014,"1, 3, 6, 7, 8, 9, 10, 11, 14, 15",10
ID1015,"1, 3, 11, 12, 13",5
ID1016,"1, 2, 3, 6, 9",5
ID1017,"1, 3, 4, 6, 7",5
ID1019,"1, 2, 4, 5, 7",5
ID1020,"4, 7, 8, 9",4
ID1021,"3, 4, 9, 10",4
ID1022,"1, 2, 5, 6, 7, 9",6
ID1024,"9, 10",2
ID1025,"1, 2, 3, 5, 6, 7, 9",7
ID1026,"10, 11",2
ID1028,"1, 2, 3, 4, 5, 6, 8, 10, 11",9
ID1029,"1, 2, 8, 9, 10",5
ID1031,"1, 2, 3, 5, 7, 8",4
ID1032,"1, 6, 7, 9, 14",5
ID1035,"1, 8, 9",3
ID1037,"1, 2, 8, 9, 10",5
ID1038,"1, 3, 4, 5, 6, 7, 8",7
ID1040,"1, 2, 3, 5, 7, 8",6
ID1044,"1, 3, 4",3
ID1047,"1, 2, 3, 4, 5, 11, 12, 13",8
ID1048,"1, 3, 6",3
ID1049,"1, 2, 5, 7",4
ID1051,"2, 3, 7, 8, 9",5
ID1055,1,1
ID1058,"1, 2, 4",3
ID1059,"3, 4, 5, 6, 7",5
ID1060,"1, 2, 3, 6, 7, 10, 11, 12, 13, 14, 15, 16, 17, 18",14
ID1062,"1, 2",2
ID1063,"1, 3",2
ID1064,"1, 2, 4",3
ID1065,"1, 4",2
ID1066,"1, 4",2
ID1067,"3, 5, 6",3
ID1068,"1, 2, 3, 4, 5, 7, 8, 9, 11, 12, 13",11
ID1070,"1, 3, 4, 5, 6, 7",6
ID1071,"1, 2, 3, 5, 6, 7, 8, 10, 11",9
ID1072,2,1
ID1073,"1, 4, 5, 7, 8, 10, 11",7
ID1074,"1, 5, 8",3
ID1075,"1, 2, 7, 13, 15, 19, 20",13
ID1076,"1, 2, 7, 11, 12, 13, 14, 15, 16, 17",10
ID1077,"1, 2, 6, 9, 10, 11, 12, 13, 14, 15",10
ID1079,"1, 2, 5, 6, 8, 9",6
ID1080,"1, 2, 3, 8, 9, 10",6
ID1081,"1, 2, 3, 4, 5, 6, 7, 8",8
ID1082,"1, 2",2
ID1084,"1, 2, 5, 6, 7, 9, 10, 11, 12",9
ID1085,"1, 2, 5, 6",4
ID1087,"1, 2, 3, 6, 10, 11, 13",7
ID1088,"6, 8, 9, 11",4
ID1089,"1, 7, 8, 9",4
ID1090,"1, 2, 3, 8, 9, 10",6
ID1093,"1, 3, 4, 5, 6, 8",6
ID1098,"1, 2, 4, 5, 7, 8, 9, 10, 11, 13, 14",11
ID1099,"1, 2, 3, 7, 8, 9, 10, 11",8
ID1101,"1, 4, 11, 12, 13",5
ID1102,"1, 2, 3, 11, 12",5
ID1108,"1, 2",2
ID1110,"1, 2, 3, 5",4
ID1112,"1, 10",2
ID1113,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14",13
ID1114,"1, 2, 3, 6, 7",5
ID1116,"1, 2, 4, 11",4
ID1117,1,1
ID1118,"1, 2, 3, 4, 5, 6, 9, 10, 13, 14, 16, 17, 18, 19, 20",15
ID1119,"1, 2, 9, 10",4
ID1121,"1, 2, 5, 6, 9, 12, 13",7
ID1123,"1, 2, 5, 6, 7, 8, 10, 11, 12",9
ID1125,"1, 6",2
ID1127,"1, 3, 5, 7, 11",5
ID1129,"1, 2, 8, 9",4
ID1130,"1, 3, 4",3
ID1131,"1, 3, 4, 7, 12",5
ID1132,"1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 13, 14, 16, 17",14
ID1135,"1, 2, 3, 4, 5, 7, 8",7
ID1137,"1, 2, 3, 4, 6",5
ID1138,"3, 4, 10, 11",4
ID1139,"1, 2, 3, 4, 7, 8, 9, 10, 11, 13",10
ID1140,1,1
ID1141,"1, 2, 3, 4, 7",4
ID1142,"1, 3, 4, 8, 9, 10",6
ID1146,"1, 3, 4, 5, 6, 7",6
ID1147,"1, 2, 6",3
ID1148,"1, 2, 3, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17",13
ID1149,"1, 3, 4, 7, 8, 9",6
ID1150,"1, 2, 11, 12, 13, 15",6
ID1151,1,1
ID1152,"1, 2, 4, 5",4
ID1153,"2, 3, 6, 7",4
ID1154,"1, 7, 9, 10",4
ID1155,"6, 7, 8, 9",4
ID1157,"1, 2, 3, 4, 7, 8, 9, 10, 11",9
ID1158,"1, 3, 8, 9, 10",5
ID1160,"1, 2, 4, 5, 9, 10, 11, 12, 13, 14",10
ID1161,3,1
ID1162,"1, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",12
ID1163,"1, 2, 3, 5, 6, 7, 8, 9",8
ID1164,"1, 3, 4",7
ID1166,"1, 2",2
ID1167,"1, 7, 8, 12, 13",5
ID1170,"1, 2, 3, 4, 6, 7, 8, 9, 10, 11",10
ID1171,"1, 2, 4, 6, 7, 8, 9",7
ID1172,"3, 4",2
ID1174,"1, 2, 3, 4, 6, 7, 9, 10, 11",9
ID1175,"1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",16
ID1176,"1, 2, 3, 4, 5, 6",6
ID1178,"1, 2, 4, 10, 12, 13, 16, 19",8
ID1179,"1, 5, 6, 7, 8, 9, 10",7
ID1180,"1, 3, 4, 5",4
ID1181,2,1
ID1182,"1, 2, 6, 7, 8, 9",6
ID1183,"1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 16, 17, 18",13
ID1184,"1, 3, 4, 6, 8",5
ID1185,"1, 3, 7",3
ID1187,"1, 5, 6, 9, 10, 11, 12",7
ID1189,"1, 2, 4",3
ID1190,"4, 5",2
ID1193,"1, 3",2
ID1194,"1, 2, 6",3
ID1197,"1, 2, 4, 5, 6",8
ID1198,"1, 2, 3, 5, 8, 9",6
ID1199,"1, 5",2
ID1200,"1, 2, 3, 5, 8, 9, 10",7
ID1201,"1, 2, 4, 5, 6, 9, 11",7
ID1202,"1, 4, 5, 8",4
ID1204,"1, 2, 3, 6, 7",5
ID1206,"1, 2, 4, 12",4
ID1207,"1, 3, 4, 6",4
ID1208,"1, 2, 3, 4, 7",5
ID1209,"1, 2, 3",3
ID1212,"1, 3, 4",3
ID1214,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15",14
ID1215,"1, 2, 3, 5, 6, 7, 9, 10, 11, 12",10
ID1216,"6, 7, 8",3
ID1217,"1, 3, 5, 6, 8, 9, 10",7
ID1218,"1, 2, 3, 4, 9, 11, 13",7
ID1219,"1, 2, 9, 10",4
ID1221,"1, 2, 5, 6",4
ID1223,"1, 2, 3, 8",4
ID1224,"1, 3, 6, 7, 8, 9, 10, 11",8
ID1226,"1, 3, 4",3
ID1227,"1, 2, 3, 4, 5",5
ID1228,"1, 2, 7, 9",4
ID1229,"1, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16",13
ID1230,"1, 5",2
ID1232,"1, 2, 3, 4, 5, 6, 8",7
ID1233,"1, 9, 10, 11, 14, 15",6
ID1234,"1, 2, 3, 4, 5, 6, 7, 8, 9, 11",10
ID1236,"1, 2, 3, 6, 7, 13, 14, 15, 16",9
ID1239,"1, 2, 3, 5, 6, 7",6
ID1240,"2, 3, 4",3
ID1242,"1, 2, 4, 5, 7, 8, 10, 11, 12, 13, 14, 16, 17",13
ID1244,"1, 3, 6, 8, 9, 10, 11, 16",8
ID1245,"1, 2, 4, 5, 6",5
ID1246,"3, 5, 6, 9, 10, 13",6
ID1247,"1, 2, 7, 8, 9, 10, 11, 12",8
ID1248,4,1
ID1249,"2, 5, 6, 7, 8",5
ID1251,"1, 4, 5",3
ID1252,"1, 2, 3, 5, 6",5
ID1254,4,1
ID1255,"1, 2, 3, 4, 5, 7, 8",7
ID1256,"1, 2, 7",2
ID1258,"2, 3, 4, 5",4
ID1260,"1, 5, 6, 7, 9, 11, 12",7
ID1261,"1, 5, 6, 7",4
ID1262,"1, 2, 3, 4, 11",5
ID1264,"1, 2",2
ID1266,"1, 2, 4, 5, 7, 8, 9, 10, 13, 14, 15, 16",12
ID1267,"1, 2, 4, 5, 8, 9, 10, 11",8
ID1268,"1, 3",2
ID1269,"1, 7, 8",3
ID1270,"1, 2, 3, 4, 6, 7",6
ID1271,"1, 3, 4, 5, 7, 10",6
ID1272,"1, 2, 3, 5, 8, 11",6
ID1273,"1, 6, 9",3
ID1275,"1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12",11
ID1276,"1, 2, 4, 5, 8",5
ID1277,"1, 2, 3, 5, 6, 7, 8",7
ID1278,"2, 4, 5, 9, 11",5
ID1279,"1, 2, 3, 5, 9, 10, 11, 12, 13",9
ID1280,"1, 2, 4, 5, 6",5
ID1281,"1, 6, 7, 8",4
ID1284,"1, 2, 4",3
ID1285,"1, 2, 3, 4, 6, 7",6
ID1286,"1, 8, 9, 10",4
ID1287,"1, 3, 4, 5, 6, 7, 8, 9, 10",9
ID1288,"4, 6, 7, 8",4
ID1289,"1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 13, 14, 19, 20",18
ID1290,"1, 2, 3, 4",4
ID1291,"1, 2, 6, 7",1
ID1294,"1, 5",2
ID1296,"1, 2, 7, 8, 9, 10",6
ID1297,"3, 4",2
ID1298,1,1
ID1299,"1, 3, 5, 6, 7",5
ID1301,"1, 2, 3, 4, 8, 10, 11, 12",8
ID1302,"1, 4, 5, 6",4
ID1303,"1, 5",2
ID1307,5,1
ID1308,"4, 5, 6, 7, 9, 12, 13",7
ID1309,"1, 3",2
ID1310,"4, 5, 6, 7, 8",5
ID1311,"1, 4, 5, 7, 9, 10",5
ID1312,"3, 5",2
ID1313,"1, 2, 6",3
ID1314,"1, 6, 7, 8, 11",5
ID1315,"2, 3, 8, 10, 11",5
ID1316,"1, 5",2
ID1318,"1, 5, 6, 8, 10, 11, 12, 13",8
ID1320,"1, 3, 4, 5, 6, 7, 8, 9, 10",9
ID1321,"1, 5, 6",3
ID1324,3,1
ID1328,"1, 2, 3, 4, 7, 8",6
ID1329,"1, 2, 4, 5, 6",5
ID1330,"2, 3",2
ID1331,"1, 2, 4, 5, 6, 7, 8, 9, 10, 11",10
ID1332,"1, 2, 3, 9, 11, 13, 14, 15, 16",9
ID1333,"6, 8, 9",3
ID1334,"1, 2, 8, 9, 10, 11",6
ID1335,"1, 2, 4, 5, 6, 7, 8, 9, 10",9
ID1336,"8, 9, 10, 11",4
ID1337,"1, 2, 3, 4, 6, 7",6
ID1338,"1, 2, 3, 6",3
ID1339,"1, 4, 5, 7, 8, 9, 10, 15, 16",9
ID1340,"1, 2",2
ID1343,"1, 2, 5, 6, 7",5
ID1345,"1, 2, 3, 7",4
ID1346,"1, 2, 6, 7",4
ID1347,"1, 2, 3, 5, 6, 7, 9, 10",8
ID1348,"1, 2, 7",3
ID1349,"1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",13
ID1350,"1, 2, 10, 12, 13, 16, 17, 18",8
ID1352,"1, 2, 7, 11, 12, 13",6
ID1353,"1, 3, 4, 5, 6, 9, 10, 11, 12, 13",10
ID1354,"2, 3, 5, 6, 13",5
ID1355,"1, 3",2
ID1356,"1, 5, 6",3
ID1357,"1, 5, 6, 7",4
ID1359,"1, 2, 3, 4, 7, 8, 9, 11",8
ID1360,"1, 2, 4, 6, 10, 11",6
ID1362,"1, 2, 5, 7, 8, 9",6
ID1366,"1, 3, 4, 5, 6, 7, 8, 10, 11, 12",10
ID1368,"1, 3, 4, 5, 6, 7, 11, 12, 14, 15",10
ID1369,"3, 4, 5",3
ID1371,"1, 3, 6, 8",4
ID1373,"1, 17",2
ID1374,"1, 3, 5, 7, 8, 9, 10, 11, 12",9
ID1376,"1, 2, 3, 6, 7, 8, 9, 10, 11",8
ID1377,"1, 5, 6, 7, 8, 9, 10, 11, 12",9
ID1378,"1, 2, 3, 4, 5, 7, 8, 9",8
ID1380,"1, 6, 7",3
ID1381,"1, 8",2
ID1382,"1, 3, 6, 7, 11, 12, 13",7
ID1383,"1, 2",2
ID1384,"1, 5, 9",3
ID1385,1,1
ID1387,"1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 18, 19",14
ID1388,"1, 2, 3, 6, 7",5
ID1389,"1, 3, 4",3
ID1391,"1, 2, 4, 6, 9",5
ID1392,"1, 2, 5",2
ID1394,"5, 6, 7, 8, 13",5
ID1395,"1, 2, 3, 4, 6, 7",6
ID1396,"2, 3",2
ID1397,"1, 2, 9",3
ID1398,"1, 3, 4, 6, 7, 8, 9",7
ID1399,"1, 2, 3, 4, 7, 8, 10",7
ID1401,"1, 2, 5",3
ID1402,"1, 2, 3, 7, 8, 10, 11, 12, 15, 18, 19",11
ID1403,"1, 4, 5, 6, 8, 11, 12, 13, 14",9
ID1405,"1, 2, 5",3
ID1409,"1, 2, 6, 7",4
ID1411,"1, 2, 3, 9, 10",5
ID1413,"3, 9",2
ID1414,1,1
ID1416,"1, 2, 3, 4, 5, 7, 8, 10",8
ID1418,"1, 2, 3, 4, 6, 8, 11, 13, 14",9
ID1419,"1, 4, 5, 6, 8, 9",6
ID1421,"1, 2, 3, 8, 9, 10",6
ID1422,"1, 4, 8, 9",4
ID1423,"1, 3, 4, 5",4
ID1425,"1, 2, 4, 5, 6",5
ID1426,"1, 2, 3, 5, 6, 7, 10, 11",8
ID1428,"1, 2, 5",3
ID1429,"1, 2, 6, 8",4
ID1430,"1, 2, 4, 5, 6, 7, 9, 10, 11, 12, 13",11
ID1431,"8, 11",2
ID1432,"1, 2, 4, 5",4
ID1434,"1, 2, 3, 5, 6, 7",6
ID1438,"1, 2, 3, 4, 5, 6, 8, 9, 12, 13, 15, 16, 17, 18, 19",15
ID1439,"1, 2, 3, 4",4
ID1442,"1, 3, 4, 8",4
ID1445,"1, 3, 4, 5, 6, 7",6
ID1446,"1, 2, 3, 4, 5, 6, 7",7
ID1448,"1, 4, 5",3
ID1449,"1, 2, 4, 6",4
ID1450,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 16",13
ID1452,"1, 4, 5, 7, 9",5
ID1453,"1, 2",2
ID1454,"1, 4, 5, 7",4
ID1457,"1, 3, 4, 5, 6, 11, 12",7
ID1458,"1, 2, 4, 7, 8, 9, 10, 11, 12",9
ID1459,"1, 3, 4, 8, 10",5
ID1460,"1, 3",2
ID1462,"1, 2, 3",3
ID1463,1,1
ID1464,"1, 4, 7, 8, 9, 10, 12, 13",8
ID1466,"1, 2, 4, 8, 9",5
ID1467,"1, 9, 11",3
ID1468,"8, 9, 10",3
ID1469,"8, 10, 11",3
ID1474,"4, 5, 6, 7",4
ID1475,"1, 3, 7, 8",4
ID1476,"1, 4, 8, 19, 20",5
ID1477,"1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16",15
ID1479,"2, 3, 4, 7",4
ID1480,"1, 2, 3, 5",4
ID1481,"1, 2, 3, 9, 16, 17",6
ID1483,"1, 2, 3, 5, 6",5
ID1485,"1, 2, 4, 11",4
ID1486,"1, 2, 3, 4, 8, 9",6
ID1488,"1, 2, 3, 6, 7",5
ID1489,"1, 2, 5, 6, 7, 8",6
ID1490,"1, 4, 10",3
ID1491,"1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14",13
ID1492,"1, 2",2
ID1494,"1, 2, 8",3
ID1495,"1, 2, 3, 8, 11",5
ID1496,"1, 4, 6",3
ID1500,"1, 3, 4",3
ID1501,"1, 4",2
ID1504,"1, 3, 4",3
ID1505,"1, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 17, 18",13
ID1506,1,1
ID1507,"1, 4",2
ID1508,8,1
ID1510,"1, 3, 4, 5",4
ID1513,"1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 15, 18, 19, 20",19
ID1514,"1, 2, 3, 6, 8, 9, 10",7
ID1515,"1, 2, 3, 8",4
ID1517,"1, 2, 5, 7, 11",5
ID1518,"1, 2, 5, 6, 7",5
ID1520,"1, 2, 4, 5, 6, 10, 11, 12, 13",9
ID1524,"1, 7",2
ID1525,"1, 2, 3, 6, 8, 9, 10, 11, 12, 13, 14",11
ID1526,"1, 2, 3, 4, 6, 7",6
ID1529,"1, 4, 5, 12",4
ID1530,"1, 2, 5, 8, 10, 11, 13, 14, 15",9
ID1531,"1, 2, 3, 4",4
ID1532,"1, 2, 7, 8, 9, 12",5
ID1533,"1, 7, 8, 11, 12",5
ID1534,"1, 2, 9, 10",4
ID1536,"2, 3, 5, 6",4
ID1538,"1, 2, 3, 4, 5, 6, 7, 8, 9, 13, 14, 15",12
ID1539,"1, 2, 4, 7, 8, 9",6
ID1540,"1, 3, 4, 5, 8, 11, 13, 14",8
ID1541,"1, 2, 5, 6, 7, 8, 9",7
ID1543,"1, 2, 3, 4, 5, 6, 7, 9, 10",9
ID1544,"1, 2, 5, 6, 7",5
ID1545,"1, 2, 15, 16, 18, 19, 20",7
ID1550,"1, 7, 8, 9, 11, 12, 13, 15, 16",9
ID1551,"1, 2, 3, 10, 12, 14, 15, 16, 17, 19, 20",12
ID1552,"1, 2, 3, 5, 6, 7, 8",7
ID1553,"1, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15",12
ID1555,"1, 2, 4, 7, 8, 9, 10",7
ID1557,"1, 7",2
ID1558,"1, 2, 4, 5, 6, 7",6
ID1559,"1, 2, 6, 7",4
ID1560,"1, 2, 3, 7, 9, 10, 11, 12",8
ID1561,"1, 2, 6, 7, 8",5
ID1565,"1, 2, 4, 5",4
ID1566,"1, 2, 3, 7, 9",5
ID1567,"1, 2, 3",3
ID1569,"1, 2",2
ID1570,"1, 2, 3, 8",4
ID1571,"1, 2, 3, 7",4
ID1572,"1, 2, 3, 4",4
ID1573,"1, 5, 6, 9, 10, 11, 12, 13, 14",9
ID1574,"1, 3, 5, 6, 7, 8, 9, 10, 11, 13, 14",11
ID1575,"1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14",13
ID1578,"1, 2, 3, 4, 6, 7",6
ID1580,"1, 2, 4",3
ID1581,"1, 5, 6, 7, 8, 9, 11, 12, 13",9
ID1582,"1, 4, 5, 6, 7",5
ID1583,"1, 3, 4, 5, 6, 7",6
ID1584,"1, 2, 3, 4, 5, 8, 10, 11",8
ID1585,"1, 2, 5, 7, 10",5
ID1586,"1, 3, 5, 6, 8, 9, 10, 13, 15",9
ID1587,"2, 4",2
ID1588,"1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 14",12
ID1590,1,1
ID1591,"2, 6",2
ID1593,"1, 2, 5, 6, 8",5
ID1594,"1, 2, 5, 6, 7, 8, 9",6
ID1596,"1, 4, 5, 6, 8, 9, 10, 11",8
ID1599,"1, 2, 3, 8, 9",5
ID1601,"1, 3, 5, 6, 8",5
ID1602,"1, 3, 7, 8",4
ID1605,"8, 11, 12",3
ID1607,"1, 2, 3, 5, 7",5
ID1610,"1, 2, 4, 5, 7, 10, 11, 12",8
ID1612,"1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13",11
ID1613,"1, 4, 5",3
ID1614,"3, 5",2
ID1617,"1, 5, 6",0
ID1618,"1, 2, 5, 7",4
ID1622,"1, 2, 3, 6, 7, 8",6
ID1625,"1, 2, 4",3
ID1629,"3, 4, 6, 7, 8, 9, 10",7
ID1632,"5, 6",2
ID1633,"1, 2, 4, 5",4
ID1634,"1, 2, 4, 6, 7, 8, 9",7
ID1636,"1, 2, 3, 4, 5, 6, 7",6
ID1637,"1, 2, 6",3
ID1638,"1, 2, 3, 8, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20",16
ID1640,"1, 5",2
ID1641,"1, 2, 3",3
ID1645,"1, 2, 5, 6, 7",5
ID1646,"1, 4",2
ID1650,"1, 2, 3, 9, 12, 13",6
ID1651,"1, 2, 3, 4, 6, 7, 8",7
ID1652,"1, 4, 7, 8, 9, 10",6
ID1653,"2, 4, 5, 6",4
ID1654,"1, 3, 6",1
ID1655,"1, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17",15
ID1656,"1, 4, 5",3
ID1659,"1, 3, 5, 10, 11, 12, 13, 14, 15, 18, 19",11
ID1660,"1, 3",2
ID1662,"1, 2, 4, 5, 6",5
ID1663,"1, 2, 3, 7, 9, 10",6
ID1664,"1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 13, 14",12
ID1666,"1, 4, 5, 6, 7, 8, 10",7
ID1667,"1, 2",2
ID1668,"1, 2, 3, 5, 6, 7, 8, 9, 10",9
ID1671,"1, 2, 3, 5, 6, 8, 9, 10, 11, 13, 14, 15, 16",13
ID1672,"1, 2, 5",3
ID1673,1,1
ID1674,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17",16
ID1676,"1, 3",2
ID1678,"1, 5",2
ID1679,"1, 2, 3, 4, 5, 6, 7, 9, 10, 11",10
ID1680,"1, 6, 7, 11, 12, 13",6
ID1683,"1, 2, 3, 6",4
ID1684,"3, 4",2
ID1685,"3, 7, 8",3
ID1687,"3, 4",2
ID1688,1,1
ID1689,"1, 2, 5, 6, 7, 8, 10",7
ID1691,"1, 13, 15",1
ID1692,"1, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16",12
ID1693,"1, 2, 6, 7, 8, 9",6
ID1694,"1, 2, 3, 10",4
ID1695,"1, 3, 4, 6, 9, 10, 11, 12, 18, 19",10
ID1696,"1, 2, 6",3
ID1697,"1, 2, 5",3
ID1698,6,1
ID1699,"1, 3, 4, 6, 7, 8",6
ID1700,"1, 2, 3, 6, 7, 8, 9, 12",8
ID1701,"1, 2, 4, 5, 6, 9",6
ID1702,"1, 3, 6, 8, 9, 12",6
ID1704,"1, 2, 4, 5, 6, 8",6
ID1706,"1, 2, 3, 4, 5, 10",6
ID1710,"1, 7, 8, 11",4
ID1711,"1, 2, 4, 5, 6",5
ID1712,"1, 4",2
ID1713,"1, 2, 3, 6, 7",5
ID1714,"1, 2, 4, 6, 7",5
ID1715,6,1
ID1716,"1, 3, 4, 5, 6, 10",6
ID1717,"4, 5, 9, 10, 12, 14",6
ID1718,"3, 4, 7, 8, 9",5
ID1722,"1, 2, 4, 5, 6, 7",6
ID1724,"1, 2, 11",3
ID1725,"1, 2, 7, 8, 9",5
ID1727,"1, 2, 3, 4, 5, 6",6
ID1728,"1, 2, 5, 8, 9, 11",6
ID1732,"1, 2, 3, 4, 5, 7, 8, 9, 10, 11",10
ID1734,"1, 2, 3, 4, 6, 7",6
ID1738,"1, 2, 3, 4, 5",5
ID1741,"1, 2, 7, 8",4
ID1742,"1, 4, 6, 7",4
ID1743,"1, 5",2
ID1744,"1, 2, 4",3
ID1746,4,1
ID1747,"9, 10",2
ID1749,"1, 2, 4, 5, 7",5
ID1750,"1, 2",2
ID1751,"1, 2, 6",3
ID1755,"1, 3, 4, 5, 6",5
ID1756,"1, 2, 4, 5, 7, 9, 11, 12",8
ID1757,"1, 2, 3",3
ID1758,"1, 4, 5",3
ID1761,"1, 6, 7, 8, 9, 10, 11, 13",8
ID1762,"1, 7, 8, 9, 10",5
ID1765,"1, 10, 16, 17, 19, 20",9
ID1766,"1, 2, 6, 7, 8",5
ID1767,"1, 2, 3, 6, 7, 8, 9",7
ID1768,"1, 2",2
ID1769,"1, 2, 4, 5, 6, 7, 15",7
ID1772,"3, 4",2
ID1773,"1, 4, 8, 9",2
ID1774,"1, 4, 5",3
ID1775,"2, 3",2
ID1776,"1, 2, 3, 7",4
ID1777,1,1
ID1778,"1, 2, 4, 5",4
ID1779,"1, 3, 4, 5",4
ID1783,"1, 5, 6, 8",4
ID1786,"1, 6, 7",3
ID1787,"2, 3, 4, 6, 8, 9, 10, 13, 14, 15",10
ID1788,"1, 3, 5, 10, 13",5
ID1789,"1, 3, 8, 10",4
ID1790,"1, 2, 3, 4, 5, 7, 8, 9",8
ID1791,"1, 2, 3, 7, 8, 10",6
ID1792,"1, 3, 14, 18, 19, 20",8
ID1793,"1, 3, 4, 5, 6, 7, 8",7
ID1795,"2, 3",2
ID1797,"1, 2, 3, 4, 6, 8, 9, 11, 12, 13",10
ID1798,"1, 2, 3, 6, 7, 8, 9, 10",8
ID1799,"1, 2, 4, 5, 8, 9, 10",7
ID1800,"1, 2, 3, 4, 9, 11",6
ID1802,"1, 2, 7, 9, 12",5
ID1807,"1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12",11
ID1808,"2, 3",2
ID1809,"1, 2, 6, 10, 11",5
ID1811,"1, 2, 3, 4, 5, 8",6
ID1812,"2, 3",2
ID1817,"1, 2, 5, 7",4
ID1818,"1, 5, 6, 7, 8, 9",6
ID1819,"1, 6, 7, 11, 12",5
ID1820,"1, 3, 4, 7",4
ID1821,"2, 3, 7, 11, 12, 13, 14, 15",8
ID1822,"8, 9, 13",3
ID1823,"1, 2, 4, 5, 7, 8, 10, 11, 12, 13",10
ID1824,"3, 4, 7",3
ID1825,"1, 2, 3, 4, 5, 7",6
ID1826,"1, 2, 8",3
ID1827,"1, 2, 5, 6, 7, 9, 10",7
ID1829,"1, 3, 7, 8",4
ID1830,"1, 2, 3, 4",4
ID1831,"1, 8, 12, 14",4
ID1833,"1, 2, 6",3
ID1834,1,1
ID1835,"1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12",11
ID1836,"1, 2, 3, 4, 5, 6, 7, 11, 12",9
ID1837,"1, 2, 4, 7, 8",5
ID1838,"1, 2, 3, 4, 8, 9",5
ID1840,"1, 4",1
ID1841,"1, 4, 5, 8, 9, 10",6
ID1842,"1, 2, 3, 4, 5, 6, 8, 9, 11, 14, 15, 17",12
ID1843,"1, 3",2
ID1845,"1, 2, 4, 5, 7, 8",6
ID1846,"1, 2, 3, 5, 8, 10, 11, 12",8
ID1847,"1, 2, 3, 4, 5, 7",6
ID1848,"1, 2, 4, 5, 10, 17",6
ID1849,"1, 2, 3, 4",4
ID1850,"11, 12",2
ID1851,"2, 3",2
ID1852,"1, 2, 3, 5, 6, 7, 8, 9, 10",9
ID1855,"1, 4, 6, 7, 8",5
ID1856,"1, 2, 4, 5, 6, 7",6
ID1858,"1, 2, 3, 6, 9",5
