Origin,data_source_corr,answerable,correct_answer,GPT-5_Round1,GPT-5_Round2,GPT-4o_Round1,GPT-4o_Round2,Qwen-14B_Round1,Qwen-14B_Round2,Qwen-72B_Round1,Qwen-72B_Round2,Llama-70B_Round1,Llama-70B_Round2,MedGemma-27B_Round1,MedGemma-27B_Round2,Human_Majority_Round1,Human_Majority_Round2
ID0766,mmlu,yes,D,D,D,D,D,D,C,D,D,C,D,D,D,D,D
ID0769,jama,yes,B,D,B,B,B,B,B,,,A,B,,,B,B
ID0770,medxpert,yes,E,E,E,E,E,E,E,E,D,C,D,E,E,E,B
ID0773,mmlu,yes,D,D,D,D,D,D,D,D,D,D,D,,,D,D
ID0777,medxpert,yes,A,D,D,I,I,I,D,D,D,C,D,,,I,I
ID0778,medxpert,yes,G,G,G,G,G,,G,G,G,B,G,G,G,G,G
ID0779,jama,yes,C,C,C,C,C,C,C,C,,A,C,,B,C,C
ID0780,jama,yes,C,C,C,D,D,C,C,B,B,A,B,,,B,C
ID0784,medbullets,yes,C,C,C,C,C,B,C,C,C,D,C,,,C,C
ID0786,medxpert,yes,A,A,A,A,A,A,A,I,I,B,I,,,A,A
ID0788,medbullets,yes,B,B,B,B,B,D,C,B,,A,D,,D,B,B
ID0789,mmlu,yes,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A
ID0790,medbullets,yes,C,C,C,C,C,C,C,C,C,C,C,,C,C,C
ID0792,medxpert,yes,I,I,I,J,A,H,J,J,J,D,A,,,I,I
ID0798,medxpert,yes,H,H,H,H,H,C,C,C,C,A,C,,,H,G
ID0799,mmlu,yes,D,D,D,D,D,D,D,D,D,B,D,D,D,D,D
ID0801,medbullets,yes,B,B,B,B,B,B,B,B,B,D,B,,B,B,B
ID0802,mmlu,yes,D,C,D,D,B,D,B,D,D,C,D,B,B,D,D
ID0803,jama,yes,D,D,D,D,D,D,D,C,D,C,C,,,D,D
ID0805,medxpert,yes,J,J,J,G,J,G,G,E,J,C,J,,,J,J
ID0809,jama,yes,B,C,C,D,D,B,C,,C,C,C,,,B,C
ID0810,medbullets,yes,C,C,C,C,C,C,C,C,C,B,C,C,C,C,C
ID0811,medxpert,yes,A,A,A,A,A,A,D,A,A,C,A,,,A,A
ID0813,medxpert,yes,D,D,D,I,I,F,F,H,D,B,D,,,D,I
ID0815,medxpert,yes,I,I,B,G,B,B,B,B,B,D,B,G,B,I,I
ID0816,medxpert,yes,E,I,I,I,I,E,D,A,A,C,A,,A,I,A
ID0819,mmlu,yes,C,C,C,C,C,C,C,,,C,C,C,C,C,C
ID0821,medxpert,yes,A,A,A,A,A,H,G,C,,A,G,,,A,H
ID0826,jama,yes,C,C,C,C,C,C,C,A,C,D,C,,C,C,C
ID0827,medxpert,yes,C,C,C,G,H,C,H,C,H,C,H,C,C,C,C
ID0828,medxpert,yes,E,E,E,,E,B,B,,B,C,B,A,,E,D
ID0831,medxpert,yes,F,B,H,,F,F,F,,C,B,C,,C,F,F
ID0833,medbullets,yes,C,C,C,C,C,C,C,C,C,B,C,C,C,C,C
ID0834,jama,yes,C,C,C,C,C,D,C,C,C,D,C,,,C,C
ID0835,medbullets,yes,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A
ID0837,jama,yes,C,C,C,C,C,A,B,C,C,B,C,,,C,C
ID0840,mmlu,yes,A,A,A,A,A,A,A,A,A,C,A,A,A,A,A
ID0841,medbullets,yes,C,C,C,D,D,D,D,D,B,C,B,,,C,C
ID0843,medxpert,yes,B,B,B,F,F,I,I,F,F,A,F,F,I,B,B
ID0844,medbullets,yes,A,A,A,A,A,A,A,A,A,A,A,,A,A,A
ID0845,medbullets,yes,C,C,C,C,C,C,C,C,C,D,C,,C,C,D
ID0846,jama,yes,C,C,C,C,C,C,C,,C,D,C,,A,C,C
ID0851,mmlu,yes,D,D,D,D,D,D,D,D,D,A,D,,D,D,D
ID0852,medbullets,yes,A,A,A,A,A,,D,A,A,C,A,,,A,A
ID0856,medxpert,yes,J,B,J,A,J,J,J,J,,A,J,,,J,F
ID0859,jama,yes,C,C,C,C,C,B,B,B,B,D,B,,B,C,C
ID0860,medxpert,yes,B,B,B,D,B,,B,D,B,B,B,D,B,B,B
ID0861,medbullets,yes,C,C,C,C,C,C,C,C,C,D,C,,C,C,C
ID0864,mmlu,yes,A,A,A,A,A,A,A,A,A,B,A,A,,A,A
ID0866,jama,yes,D,D,D,D,D,D,D,D,D,C,D,,,D,D
ID0867,jama,yes,B,B,B,B,B,B,B,B,B,C,B,B,B,B,B
ID0869,jama,yes,B,B,B,B,B,B,B,B,B,C,B,,B,B,B
ID0870,medxpert,yes,A,A,A,B,B,B,C,B,B,D,B,A,,B,C
ID0872,medxpert,yes,D,D,D,E,E,D,D,D,,D,D,,,D,D
ID0878,jama,yes,B,D,B,B,B,A,A,,A,C,A,,,B,B
ID0880,medxpert,yes,F,I,I,I,I,I,I,F,F,C,I,,,I,I
ID0884,mmlu,yes,C,C,C,C,C,C,C,C,,C,C,,C,C,C
ID0885,medbullets,yes,D,D,D,D,D,D,D,B,,C,A,,A,D,D
ID0887,medbullets,yes,B,B,B,B,B,B,B,B,B,D,B,B,B,B,B
ID0893,medbullets,yes,D,D,D,D,D,C,D,D,D,B,D,D,D,D,D
ID0894,jama,yes,B,B,B,B,B,B,B,B,B,D,B,,B,B,B
ID0895,jama,yes,C,C,C,C,C,C,B,C,C,B,C,,B,C,B
ID0899,jama,yes,B,B,B,B,B,C,C,C,C,C,C,,,B,B
ID0901,medbullets,yes,B,B,B,B,B,D,D,B,,A,B,,,D,B
ID0902,medxpert,yes,I,I,H,C,I,D,D,D,D,D,D,F,F,D,A
ID0904,jama,yes,A,A,A,B,A,A,A,A,A,C,A,A,A,A,A
ID0907,medxpert,yes,C,E,E,E,E,E,J,E,E,D,E,,,E,E
ID0909,mmlu,yes,A,A,A,A,A,A,A,A,A,B,A,,A,A,A
ID0910,mmlu,yes,D,D,D,D,D,D,D,D,D,C,D,A,A,D,D
ID0911,mmlu,yes,D,D,D,D,D,D,D,D,D,D,D,,D,D,D
ID0912,medxpert,yes,E,E,E,C,C,F,F,,,B,B,,,E,E
ID0918,mmlu,yes,D,D,D,D,D,D,D,D,D,C,D,,,D,D
ID0919,medxpert,yes,A,A,A,D,D,F,F,D,D,B,D,,,A,D
ID0922,medxpert,yes,I,I,E,E,E,I,F,,I,B,I,,,I,I
ID0923,medbullets,yes,A,A,A,A,A,A,A,A,A,B,A,,A,A,A
ID0924,medbullets,yes,B,B,B,B,B,B,B,B,B,C,B,B,,B,B
ID0926,medxpert,yes,A,A,J,J,J,J,C,,,D,C,,A,A,A
ID0934,medxpert,yes,G,G,G,G,G,G,G,,G,B,G,G,G,G,G
ID0935,jama,yes,A,A,A,A,A,A,A,A,A,B,A,,D,A,A
ID0937,jama,yes,C,C,C,C,C,A,C,,C,A,A,,,C,C
ID0941,medxpert,yes,E,E,E,C,C,C,C,C,C,B,C,,,C,C
ID0942,medxpert,yes,H,H,G,G,G,A,G,A,A,B,A,,A,G,G
ID0944,mmlu,yes,B,B,B,B,B,B,B,B,B,C,B,B,B,B,B
ID0948,medxpert,yes,F,F,F,,B,G,G,G,G,D,G,G,G,F,G
ID0949,medbullets,yes,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
ID0951,mmlu,yes,B,B,B,B,B,B,B,,,A,B,B,B,B,B
ID0953,mmlu,yes,D,D,D,D,D,D,D,D,D,B,D,,,D,D
ID0957,medxpert,yes,J,J,J,B,B,B,B,D,,C,D,J,B,J,F
ID0962,jama,yes,A,A,A,A,A,C,C,A,C,C,C,,,C,A
ID0963,mmlu,yes,D,D,D,D,D,D,B,D,D,D,D,B,D,D,D
ID0965,medxpert,yes,F,F,F,I,I,I,I,I,I,C,I,,,F,I
ID0972,medxpert,yes,B,B,B,,C,C,C,C,,C,C,,,B,A
ID0973,jama,yes,D,D,C,D,C,D,C,D,C,B,C,,C,C,C
ID0974,medbullets,yes,D,D,D,D,A,A,A,A,A,A,A,,A,C,A
ID0976,jama,yes,A,A,A,A,A,B,D,A,A,C,A,B,,A,D
ID0979,medxpert,yes,B,B,B,,F,B,J,,B,B,B,,A,B,A
ID0981,jama,yes,C,C,C,C,C,C,C,C,C,D,C,,,C,B
ID0982,jama,yes,C,C,C,C,C,D,D,D,D,C,D,,,C,C
ID0987,medbullets,yes,A,A,A,A,A,C,A,A,D,C,D,C,C,A,A
ID0992,medxpert,yes,B,B,E,,E,E,A,B,E,C,A,B,E,B,E
ID0994,medxpert,yes,C,C,C,,C,C,B,A,A,A,A,,,A,C
ID0998,jama,yes,B,B,B,B,B,B,B,B,B,D,B,B,B,B,B
ID0999,mmlu,yes,D,D,D,D,D,D,D,D,D,C,D,D,D,D,D
ID1001,jama,yes,C,C,C,C,C,C,C,C,C,D,C,,C,C,C
ID1002,jama,yes,C,C,C,C,C,C,C,C,C,C,C,,C,C,D
ID1005,jama,yes,C,C,C,C,C,C,C,C,C,D,C,C,C,C,C
ID1009,medxpert,yes,D,D,D,D,D,J,J,,D,C,D,,,D,D
ID1013,mmlu,yes,D,D,D,D,D,D,D,D,D,C,D,,D,D,D
ID1014,jama,yes,B,B,B,B,B,B,B,B,B,C,B,,,B,B
ID1015,jama,yes,D,D,D,D,D,D,D,D,D,D,D,,D,D,D
ID1016,jama,yes,D,D,D,A,B,D,A,A,D,D,D,A,A,D,B
ID1017,jama,yes,D,D,D,D,D,D,D,D,D,B,D,,D,D,D
ID1020,jama,yes,C,A,A,A,C,B,B,C,C,C,C,A,A,A,A
ID1021,jama,yes,A,A,A,A,A,A,A,A,A,B,A,,A,A,B
ID1022,jama,yes,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
ID1024,medbullets,yes,D,D,D,D,D,D,D,C,C,D,C,,D,D,D
ID1025,mmlu,yes,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A
ID1026,medxpert,yes,B,B,B,,F,D,F,D,,D,D,,F,D,D
ID1029,medxpert,yes,G,C,G,I,C,C,C,C,C,D,C,,C,C,G
ID1031,medxpert,yes,G,G,G,J,J,A,I,I,,C,I,,,G,C
ID1032,jama,yes,A,A,D,C,C,A,C,C,,B,C,,C,B,B
ID1035,jama,yes,C,C,A,C,A,A,A,A,A,A,A,,A,C,A
ID1037,jama,yes,B,B,B,B,B,B,B,B,B,B,B,,B,B,B
ID1038,jama,yes,D,D,D,A,D,B,B,D,B,B,B,B,B,B,D
ID1044,mmlu,yes,C,C,C,C,C,C,C,C,C,D,C,C,C,C,C
ID1047,jama,yes,B,D,D,B,B,B,B,B,B,B,B,B,B,B,D
ID1048,jama,yes,B,B,B,B,B,C,A,B,B,B,B,B,B,B,B
ID1049,jama,yes,D,D,D,D,D,B,C,B,D,C,D,,,D,B
ID1051,medbullets,yes,A,A,A,A,A,B,B,B,,B,B,,C,D,A
ID1055,medxpert,yes,E,E,E,,C,C,C,C,C,A,C,,,E,E
ID1058,medxpert,yes,D,D,D,D,D,H,H,H,H,C,H,,H,D,C
ID1059,mmlu,yes,C,C,C,C,C,C,B,C,C,A,C,C,C,D,C
ID1062,medxpert,yes,E,E,E,E,J,J,G,J,J,C,J,,,E,D
ID1063,mmlu,yes,B,B,B,B,B,B,B,B,B,C,B,B,G,B,B
ID1064,mmlu,yes,A,A,A,A,A,C,C,C,C,B,C,A,A,A,A
ID1065,medxpert,yes,G,D,G,,G,G,G,G,,C,G,G,E,G,F
ID1066,medxpert,yes,B,B,B,,G,D,D,G,C,B,C,C,C,G,B
ID1067,medxpert,yes,G,B,G,,A,E,E,E,E,A,E,B,A,G,G
ID1068,jama,yes,C,C,B,C,C,C,C,A,A,C,A,B,,A,D
ID1070,jama,yes,B,B,B,B,B,B,B,D,D,B,D,,,B,B
ID1073,jama,yes,D,D,D,D,D,D,A,D,A,B,A,,,D,D
ID1074,medxpert,yes,D,D,D,D,A,E,D,E,E,D,D,,,A,D
ID1076,jama,yes,B,B,B,B,B,B,B,B,B,D,B,B,B,B,B
ID1077,jama,yes,D,D,D,D,D,D,D,D,,B,D,,,D,D
ID1079,jama,yes,C,C,C,C,C,B,C,,,B,B,A,B,C,D
ID1081,medbullets,yes,D,D,D,D,D,D,B,,D,D,D,D,,D,D
ID1082,mmlu,yes,B,B,B,B,B,B,D,D,B,B,B,,B,B,B
ID1084,jama,yes,D,D,D,D,D,A,A,,D,D,D,,,D,D
ID1085,medxpert,yes,D,G,G,D,D,G,C,C,C,B,C,D,D,D,B
ID1087,jama,yes,B,B,B,B,B,B,B,B,B,B,B,,B,B,B
ID1088,mmlu,yes,B,B,B,B,B,B,B,B,B,C,B,,,B,B
ID1090,jama,yes,D,D,D,D,D,C,C,D,D,A,D,,,D,A
ID1093,medbullets,yes,C,B,C,C,C,C,C,C,C,A,C,C,C,B,C
ID1098,jama,yes,A,A,A,A,A,A,A,,A,C,A,,,A,A
ID1099,jama,yes,A,A,A,A,A,A,A,B,B,A,B,,,A,A
ID1101,jama,yes,C,B,B,B,B,B,B,B,B,B,B,,B,B,B
ID1102,medxpert,yes,B,B,G,B,B,A,A,B,B,B,B,B,B,B,A
ID1108,medxpert,yes,E,E,E,,E,E,E,E,I,B,B,A,,E,E
ID1110,jama,yes,A,A,A,A,A,A,A,A,A,B,A,,A,A,A
ID1112,mmlu,yes,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ID1113,jama,yes,C,C,C,C,C,C,C,,C,B,C,,C,C,C
ID1114,mmlu,yes,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
ID1116,medbullets,yes,B,B,B,D,D,B,B,B,B,B,B,B,B,B,B
ID1117,medxpert,yes,C,C,C,D,D,C,C,C,C,B,C,,C,D,E
ID1121,jama,yes,C,C,C,C,C,C,D,C,C,C,C,,,C,C
ID1125,medxpert,yes,A,A,A,J,J,J,J,J,J,B,J,J,A,A,J
ID1127,jama,yes,C,B,B,C,B,B,B,D,B,C,B,,B,B,D
ID1130,medbullets,yes,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ID1132,jama,yes,D,D,D,B,B,B,B,B,B,C,B,,,D,D
ID1135,jama,yes,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
ID1137,medbullets,yes,B,B,B,B,B,B,B,B,B,D,B,B,B,B,A
ID1141,medxpert,yes,G,F,F,G,G,F,F,,,D,F,,,G,J
ID1142,medbullets,yes,D,D,D,D,D,D,D,,D,A,D,,,D,D
ID1147,medxpert,yes,E,E,E,G,G,C,D,,,B,I,,,E,G
ID1148,jama,yes,B,B,B,B,B,B,B,,,B,B,,,B,B
ID1149,jama,yes,D,D,D,D,D,C,C,D,C,C,C,,D,D,D
ID1150,jama,yes,A,A,A,A,A,A,A,A,A,C,A,,A,A,A
ID1151,medxpert,yes,C,G,B,,B,C,C,C,B,A,C,B,B,B,G
ID1152,mmlu,yes,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
ID1153,medbullets,yes,A,C,D,C,D,C,D,,A,A,A,,,A,D
ID1154,medxpert,yes,D,D,F,D,D,F,F,F,F,A,F,C,,D,E
ID1157,medbullets,yes,C,C,C,C,C,C,C,C,C,B,C,C,C,C,C
ID1158,medbullets,yes,C,C,C,C,C,C,C,C,C,C,C,,C,C,C
ID1161,medxpert,yes,J,G,G,G,G,J,G,J,J,B,B,G,J,G,J
ID1162,jama,yes,B,B,B,B,B,C,C,C,B,B,B,,,D,A
ID1163,mmlu,yes,D,D,D,D,D,D,D,D,D,C,D,D,D,D,D
ID1164,jama,yes,B,D,B,B,B,B,B,B,D,B,B,,B,B,B
ID1167,jama,yes,A,A,A,A,A,A,B,A,B,C,B,,,A,A
ID1170,jama,yes,C,C,C,C,C,C,C,C,C,B,C,C,,C,B
ID1171,jama,yes,B,B,B,B,B,B,D,D,D,C,D,,,B,B
ID1172,medxpert,yes,F,F,F,,F,G,D,G,A,C,A,,,F,F
ID1175,jama,yes,A,A,A,D,D,A,A,,A,A,A,,A,A,A
ID1176,medxpert,yes,B,B,B,B,B,C,C,C,C,B,C,G,B,B,B
ID1179,medxpert,yes,C,I,C,C,C,I,C,C,C,C,C,C,,I,E
ID1180,mmlu,yes,D,D,D,D,D,D,D,D,D,A,D,D,D,D,D
ID1181,mmlu,yes,D,D,D,D,D,D,D,D,D,B,D,D,D,D,D
ID1182,mmlu,yes,B,B,B,B,B,B,B,B,B,B,B,,B,B,B
ID1184,medxpert,yes,C,C,C,,C,C,C,A,C,B,C,,,C,C
ID1185,jama,yes,C,A,C,C,C,A,C,A,C,C,C,,C,C,C
ID1187,mmlu,yes,D,D,D,D,D,B,B,D,D,B,D,,D,D,D
ID1190,medxpert,yes,H,F,H,,E,C,E,D,B,A,E,F,B,C,B
ID1193,jama,yes,B,B,B,B,B,B,B,B,B,D,B,,B,B,B
ID1194,medxpert,yes,H,D,D,,D,D,F,D,D,C,D,,,D,F
ID1197,jama,yes,C,D,C,A,C,A,B,A,A,C,A,C,A,C,C
ID1199,medxpert,yes,A,A,A,A,A,I,A,A,A,D,A,A,A,A,A
ID1200,medbullets,yes,C,C,C,C,C,C,C,C,C,C,C,,,C,C
ID1201,jama,yes,C,C,C,C,C,C,C,C,C,B,C,,C,C,C
ID1202,medbullets,yes,A,A,A,A,A,A,A,A,A,B,A,,A,A,A
ID1204,jama,yes,C,C,C,C,C,C,C,C,C,A,C,C,C,C,C
ID1206,mmlu,yes,B,B,B,B,B,C,C,B,B,A,B,B,,B,B
ID1208,medxpert,yes,B,I,J,,D,C,D,B,B,C,B,,,D,I
ID1209,mmlu,yes,D,D,D,D,D,D,D,D,D,B,D,D,D,D,D
ID1212,medxpert,yes,I,J,I,I,I,J,C,C,,D,J,,,J,J
ID1215,jama,yes,B,B,B,B,B,B,B,B,B,B,B,,B,B,B
ID1217,jama,yes,D,D,D,D,D,D,C,D,D,C,D,,,D,D
ID1218,medbullets,yes,A,A,A,A,A,C,C,A,,D,A,,,A,A
ID1223,mmlu,yes,D,D,D,D,D,D,D,D,,D,D,,,D,C
ID1226,medxpert,yes,G,G,G,,H,H,E,D,,C,H,,,G,J
ID1227,mmlu,yes,C,C,C,C,C,C,C,C,C,B,C,,C,C,C
ID1228,medbullets,yes,B,C,C,B,B,B,B,B,B,C,B,,B,B,B
ID1229,jama,yes,B,A,A,A,A,A,A,A,A,B,A,,,A,A
ID1239,mmlu,yes,D,D,D,D,D,D,D,D,D,D,D,D,,D,D
ID1240,mmlu,yes,A,A,A,A,A,A,A,B,B,A,B,B,B,A,A
ID1244,jama,yes,C,C,C,C,C,C,C,C,C,A,C,,C,C,C
ID1245,medbullets,yes,B,B,B,B,B,B,B,B,B,C,B,B,B,B,B
ID1246,medbullets,yes,A,A,A,B,A,B,B,B,B,B,B,,,A,A
ID1247,jama,yes,B,B,B,B,B,B,B,B,B,C,B,B,,B,B
ID1248,mmlu,yes,D,D,D,D,D,D,D,,,C,D,D,D,D,D
ID1249,medbullets,yes,A,A,C,C,C,C,C,D,C,A,C,,,A,D
ID1252,medxpert,yes,G,G,G,E,E,B,B,E,E,C,E,E,B,E,G
ID1254,medxpert,yes,E,B,A,E,E,E,E,E,E,B,E,E,E,E,H
ID1255,medxpert,yes,I,B,B,B,I,B,B,B,B,C,H,H,H,H,B
ID1256,medxpert,yes,D,D,D,I,I,F,I,F,I,D,F,,,A,G
ID1258,mmlu,yes,D,D,D,D,D,D,D,,,D,D,D,,D,D
ID1261,mmlu,yes,B,B,B,B,B,B,B,B,B,D,B,B,B,B,B
ID1262,medbullets,yes,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B
ID1266,jama,yes,C,C,B,B,B,B,C,B,B,A,A,,,B,C
ID1268,mmlu,yes,D,D,D,D,D,D,D,D,D,A,D,D,D,D,D
ID1269,medbullets,yes,C,C,D,D,C,C,C,C,C,C,C,C,C,C,C
ID1270,medxpert,yes,J,D,H,,I,D,D,J,J,B,J,,,J,I
ID1271,medbullets,yes,D,D,D,D,D,D,D,D,D,C,D,,,D,D
ID1272,mmlu,yes,A,A,A,A,A,C,D,A,D,C,D,,D,A,A
ID1273,jama,yes,C,C,C,C,C,D,D,D,D,A,D,,C,C,C
ID1277,mmlu,yes,D,D,D,D,D,D,C,D,,C,D,,,D,D
ID1278,medbullets,yes,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
ID1279,medbullets,yes,C,C,C,C,C,C,C,C,C,D,C,C,C,C,C
ID1280,medxpert,yes,B,B,B,,B,A,A,G,G,D,B,A,A,B,I
ID1284,medxpert,yes,H,H,H,,F,E,E,F,F,B,F,,,H,J
ID1285,jama,yes,B,B,B,B,B,B,B,B,B,B,B,,,B,B
ID1287,mmlu,yes,D,D,D,D,D,D,D,D,D,D,D,,,D,D
ID1288,jama,yes,C,A,A,A,B,C,B,,A,D,B,,,A,B
ID1290,jama,yes,A,A,A,A,A,A,A,A,,B,A,A,,A,A
ID1294,medxpert,yes,B,B,B,E,E,E,E,E,E,A,E,,E,F,E
ID1296,mmlu,yes,B,B,B,B,B,B,B,B,B,D,B,B,B,B,B
ID1297,mmlu,yes,B,B,B,B,B,A,A,A,A,A,A,B,B,B,B
ID1298,medxpert,yes,H,H,H,H,H,H,H,A,A,D,A,J,J,H,H
ID1299,medxpert,yes,E,E,E,,C,E,E,E,E,B,E,C,C,E,C
ID1302,mmlu,yes,D,D,D,D,D,D,D,D,D,D,D,,,D,D
ID1307,medbullets,yes,D,D,D,D,D,D,D,,,A,B,A,,D,D
ID1308,jama,yes,B,B,B,B,B,B,D,D,,D,D,,D,D,D
ID1309,medxpert,yes,D,D,E,,E,B,B,D,D,B,D,,,E,D
ID1310,mmlu,yes,D,D,D,D,D,D,D,D,D,C,D,,D,D,D
ID1313,medbullets,yes,C,C,C,D,C,D,D,D,D,A,D,D,D,D,D
ID1316,mmlu,yes,C,C,C,C,C,C,C,C,C,B,C,C,C,C,C
ID1318,jama,yes,C,A,C,C,C,A,A,C,C,D,C,,,C,A
ID1320,jama,yes,C,C,C,C,C,C,C,,C,B,C,,,C,C
ID1321,jama,yes,C,C,C,C,C,C,C,C,C,D,C,C,B,C,B
ID1324,medxpert,yes,F,J,G,J,J,E,G,B,D,A,D,,,D,G
ID1328,medxpert,yes,H,H,H,J,H,A,A,,A,C,A,,,H,H
ID1329,medbullets,yes,D,D,D,D,D,D,D,D,D,B,D,D,D,D,D
ID1330,mmlu,yes,B,B,B,B,B,B,B,B,,C,B,B,,B,B
ID1331,mmlu,yes,B,B,B,B,B,B,B,B,B,B,B,,,B,B
ID1332,jama,yes,B,B,B,B,B,B,B,B,,B,B,,,B,B
ID1333,medxpert,yes,C,C,C,,G,G,G,C,G,A,G,C,B,B,B
ID1335,mmlu,yes,D,D,D,A,A,D,A,D,D,B,D,,,D,D
ID1336,mmlu,yes,C,C,C,C,C,C,C,C,,D,C,,,C,C
ID1338,medbullets,yes,D,D,D,D,D,D,D,D,D,B,D,D,D,D,A
ID1339,mmlu,yes,D,D,D,D,D,C,D,D,D,B,D,,,D,D
ID1340,medxpert,yes,C,C,C,H,C,H,H,H,H,C,H,G,G,C,C
ID1343,medbullets,yes,D,D,D,B,B,A,A,,B,D,B,,B,D,D
ID1345,medbullets,yes,C,C,C,C,C,B,C,C,C,B,C,A,A,C,C
ID1346,jama,yes,C,C,D,C,D,D,C,C,C,C,C,C,C,C,C
ID1347,jama,yes,A,A,A,B,B,B,B,B,B,A,B,,,A,A
ID1349,jama,yes,D,D,C,D,D,B,D,C,C,A,C,,,D,A
ID1353,jama,yes,C,C,C,C,C,C,C,C,A,B,C,,C,C,A
ID1354,jama,yes,B,B,B,B,B,B,B,,B,B,B,,B,B,C
ID1355,mmlu,yes,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A
ID1357,medxpert,yes,B,B,B,E,E,I,E,E,,B,E,,,E,F
ID1359,jama,yes,A,C,C,C,C,C,B,,C,B,C,,A,A,C
ID1366,jama,yes,B,B,B,B,B,B,B,B,B,D,B,,,B,B
ID1369,medxpert,yes,C,C,G,,H,E,E,,,D,D,,,C,C
ID1371,medbullets,yes,A,A,A,D,C,D,C,D,D,D,D,D,D,A,A
ID1378,medbullets,yes,B,B,B,B,B,A,A,B,B,C,B,,,B,B
ID1380,medxpert,yes,A,C,C,C,C,B,B,B,B,C,B,C,C,A,C
ID1383,mmlu,yes,A,A,A,A,A,A,A,A,A,D,A,,A,D,A
ID1384,medbullets,yes,A,A,A,A,A,B,B,B,B,D,A,,A,A,A
ID1385,medxpert,yes,A,A,A,,A,A,A,B,B,C,B,B,A,C,A
ID1387,jama,yes,C,C,C,C,C,C,C,C,C,A,C,,,C,C
ID1388,jama,yes,C,C,C,C,C,B,C,C,A,B,A,,A,C,C
ID1389,medxpert,yes,E,C,B,,B,J,B,A,B,C,B,A,B,E,E
ID1392,medxpert,yes,J,J,I,J,J,I,I,I,C,A,C,E,,J,B
ID1394,medbullets,yes,C,C,C,C,C,C,C,,C,B,C,B,B,C,C
ID1395,medxpert,yes,J,J,J,J,J,F,F,F,,B,J,,,J,I
ID1396,medxpert,yes,J,J,J,G,G,G,H,G,G,C,G,,,J,J
ID1398,jama,yes,C,C,C,C,C,C,C,C,C,D,C,A,C,C,C
ID1399,medxpert,yes,E,E,E,G,E,E,A,E,E,B,E,A,E,E,G
ID1401,jama,yes,C,C,C,C,B,C,A,C,A,C,A,,A,C,D
ID1402,jama,yes,C,C,C,C,C,C,C,C,C,B,C,,C,C,B
ID1403,jama,yes,B,B,B,B,B,B,B,B,B,C,D,,,B,B
ID1405,mmlu,yes,B,B,B,B,B,B,B,B,B,C,B,,B,B,B
ID1409,medxpert,yes,G,B,H,,G,G,E,E,B,B,B,,,G,F
ID1413,medbullets,yes,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
ID1414,medxpert,yes,B,B,B,I,G,I,B,G,B,B,B,B,B,I,I
ID1416,jama,yes,B,B,B,B,B,B,B,B,B,C,B,,B,B,B
ID1418,mmlu,yes,D,D,D,D,D,D,D,D,D,B,D,,,D,D
ID1421,mmlu,yes,D,D,D,D,D,D,D,D,D,A,D,,,D,D
ID1422,medbullets,yes,C,C,B,B,B,B,C,B,B,B,B,B,A,B,B
ID1423,medxpert,yes,F,F,F,,F,B,B,B,,D,F,B,B,J,B
ID1425,mmlu,yes,D,D,D,D,D,D,B,D,D,D,D,,,D,D
ID1426,mmlu,yes,D,D,D,D,D,D,D,D,D,B,D,D,D,D,D
ID1428,medxpert,yes,F,A,A,A,A,F,A,A,A,C,A,A,A,A,A
ID1430,jama,yes,C,C,C,C,C,C,C,C,C,B,C,,C,C,C
ID1432,medxpert,yes,E,E,E,H,E,G,C,C,G,B,G,E,E,E,E
ID1434,medxpert,yes,D,D,J,G,J,J,J,J,J,B,J,B,,D,J
ID1438,jama,yes,D,D,D,D,D,D,A,D,D,C,D,,,D,D
ID1439,medbullets,yes,B,B,B,B,B,B,B,B,B,D,B,B,B,B,B
ID1442,mmlu,yes,D,D,D,D,D,D,D,D,D,B,D,D,,D,D
ID1445,mmlu,yes,A,A,A,A,A,A,A,A,,C,A,A,A,A,A
ID1446,mmlu,yes,C,C,C,C,C,C,C,C,C,B,C,C,C,C,C
ID1448,medxpert,yes,B,B,B,H,H,H,H,E,C,C,C,H,,B,B
ID1450,jama,yes,C,C,C,C,C,C,C,C,C,A,C,,,D,C
ID1452,medbullets,yes,D,D,D,D,B,B,B,,D,D,D,B,D,D,D
ID1454,mmlu,yes,B,B,B,B,B,B,B,B,B,D,B,B,B,B,B
ID1459,jama,yes,A,A,A,A,A,A,A,A,A,C,A,A,A,A,A
ID1460,mmlu,yes,D,D,D,D,D,D,D,A,D,D,D,D,,D,D
ID1462,medxpert,yes,A,A,A,,B,B,A,A,,C,A,A,A,A,J
