Origin,data_source,Round 1,Round 2,Ground_Truth_Answer
ID1426,mmlu,D,C,B
ID1428,medxpert,A,C,C
ID1429,jama,A,C,C
ID1430,jama,C,D,C
ID1431,jama,C,B,B
ID1432,medxpert,A,B,C
ID1434,medxpert,H,B,B
ID1438,jama,D,C,D
ID1439,medbullets,B,A,D
ID1442,mmlu,D,B,B
ID1445,mmlu,A,C,C
ID1446,mmlu,D,D,A
ID1448,medxpert,B,C,C
ID1449,medxpert,C,C,B
ID1450,jama,A,A,B
ID1452,medbullets,B,C,B
ID1453,jama,A,D,D
ID1454,mmlu,B,D,C
ID1457,medbullets,A,C,C
ID1458,jama,C,NONE,D
ID1459,jama,A,C,C
ID1460,mmlu,C,D,D
ID1462,medxpert,A,NONE,C
ID1463,medxpert,C,B,D
ID1464,jama,C,C,C
ID1466,mmlu,D,D,B
ID1467,mmlu,B,A,D
ID1468,medbullets,A,B,C
ID1469,jama,C,B,C
ID1474,mmlu,B,B,B
ID1475,medbullets,C,D,D
ID1476,jama,A,B,A
ID1477,jama,B,C,B
ID1479,mmlu,A,NONE,B
ID1480,medbullets,D,A,B
ID1481,jama,A,D,D
ID1483,medxpert,C,A,C
ID1485,jama,C,D,D
ID1486,jama,A,D,D
ID1488,medbullets,D,B,D
ID1489,medbullets,A,A,A
ID1490,medbullets,A,D,A
ID1491,jama,B,A,A
ID1492,medxpert,A,B,B
ID1494,medbullets,B,C,C
ID1495,medbullets,B,C,D
ID1496,medbullets,A,C,C
ID1500,mmlu,C,D,D
ID1501,medxpert,E,D,D
ID1504,medxpert,F,C,B
ID1505,jama,C,C,C
ID1506,mmlu,A,B,B
ID1507,mmlu,C,A,C
ID1508,medbullets,D,D,D
ID1510,jama,B,C,A
ID1513,jama,D,D,D
ID1514,jama,A,A,D
ID1515,mmlu,A,B,B
ID1517,jama,B,NONE,B
ID1518,jama,D,B,D
ID1520,jama,C,B,B
ID1524,mmlu,C,D,D
ID1525,jama,C,A,C
ID1526,medbullets,C,C,C
ID1529,jama,C,B,C
ID1530,jama,D,B,B
ID1531,jama,C,B,C
ID1532,jama,B,C,C
ID1533,jama,C,C,C
ID1534,medbullets,C,C,C
ID1536,medbullets,D,C,C
ID1538,jama,B,B,B
ID1539,medbullets,D,B,C
ID1540,jama,C,D,B
ID1541,medbullets,C,B,C
ID1543,mmlu,A,D,D
ID1544,mmlu,C,B,A
ID1545,jama,B,B,D
ID1550,jama,A,A,B
ID1551,jama,A,D,B
ID1552,medbullets,D,C,D
ID1553,medbullets,A,D,B
ID1555,jama,D,A,C
ID1557,medxpert,H,B,C
ID1558,jama,B,C,C
ID1559,medxpert,G,B,B
ID1560,jama,D,B,B
ID1561,jama,C,A,B
ID1565,medbullets,B,C,C
ID1566,medbullets,A,C,D
ID1567,medxpert,B,D,C
ID1569,mmlu,C,D,B
ID1570,medbullets,C,C,C
ID1571,medxpert,B,A,B
ID1572,medxpert,G,A,C
ID1573,jama,C,D,D
ID1574,jama,C,B,B
ID1575,jama,C,B,B
ID1578,medxpert,A,B,C
ID1580,medxpert,G,B,D
ID1581,jama,D,C,C
ID1582,medxpert,G,B,A
ID1583,mmlu,A,D,D
ID1584,jama,D,D,D
ID1585,jama,C,B,B
ID1586,mmlu,D,C,B
ID1587,mmlu,D,C,C
ID1588,jama,D,C,B
ID1590,mmlu,D,B,B
ID1591,medxpert,I,B,B
ID1593,medxpert,D,D,C
ID1594,jama,C,C,C
ID1596,mmlu,D,B,B
ID1599,medbullets,C,B,C
ID1601,jama,C,C,B
ID1602,medbullets,A,C,A
ID1605,jama,C,C,D
ID1607,jama,C,D,A
ID1610,jama,B,C,C
ID1612,jama,C,C,C
ID1613,mmlu,D,B,B
ID1614,medxpert,F,B,A
ID1617,medxpert,C,D,C
ID1618,jama,A,D,A
ID1622,mmlu,D,NONE,C
ID1625,medxpert,H,D,D
ID1629,medbullets,C,C,B
ID1632,medbullets,D,C,B
ID1633,mmlu,A,B,C
ID1634,medbullets,B,A,A
ID1636,medbullets,A,C,C
ID1637,medbullets,A,B,A
ID1638,jama,B,D,D
ID1640,medxpert,A,A,A
ID1641,jama,D,C,A
ID1645,jama,B,B,D
ID1646,medxpert,C,B,D
ID1650,mmlu,B,B,C
ID1651,jama,D,C,C
ID1652,jama,A,A,A
ID1653,jama,B,D,A
ID1654,medxpert,B,A,B
ID1655,jama,D,NONE,A
ID1656,medxpert,J,C,A
ID1659,jama,B,B,A
ID1660,mmlu,C,B,D
ID1662,mmlu,D,B,B
ID1663,jama,D,C,B
ID1664,jama,D,B,B
ID1666,medbullets,A,D,D
ID1667,medxpert,F,A,A
ID1668,medbullets,C,A,C
ID1671,jama,C,C,A
ID1672,jama,D,A,A
ID1673,medxpert,G,B,B
ID1674,jama,A,NONE,A
ID1676,medxpert,B,A,D
ID1678,jama,B,D,B
ID1679,jama,D,D,C
ID1680,jama,A,D,D
ID1683,jama,B,A,C
ID1684,medxpert,E,A,C
ID1685,medbullets,C,D,D
ID1687,medxpert,C,C,C
ID1688,mmlu,C,NONE,C
ID1689,jama,A,C,C
ID1691,medxpert,B,D,D
ID1692,jama,C,B,B
ID1693,medbullets,C,D,D
ID1694,medxpert,H,B,B
ID1695,jama,B,C,C
ID1696,medxpert,F,B,C
ID1697,jama,C,C,C
ID1698,medxpert,G,D,D
ID1699,jama,D,C,C
ID1700,mmlu,D,A,A
ID1701,mmlu,B,B,A
ID1702,jama,D,A,A
ID1704,medbullets,C,C,D
ID1706,medbullets,B,C,C
ID1710,jama,B,C,B
ID1711,jama,A,D,D
ID1712,medxpert,C,D,D
ID1713,jama,C,B,B
ID1714,jama,,B,D
ID1715,mmlu,D,B,C
ID1716,jama,A,C,C
ID1717,medxpert,A,D,A
ID1718,medbullets,C,D,D
ID1722,medxpert,A,A,A
ID1724,medxpert,B,A,B
ID1725,mmlu,D,B,A
ID1727,medxpert,G,C,C
ID1728,jama,D,D,D
ID1732,jama,C,D,D
ID1734,jama,D,D,D
ID1738,medbullets,A,NONE,C
ID1741,medxpert,F,C,B
ID1742,medxpert,C,B,B
ID1743,medxpert,A,B,B
ID1744,medxpert,A,A,A
ID1746,medxpert,I,B,D
ID1747,jama,B,C,A
ID1749,mmlu,D,A,A
ID1750,medxpert,C,B,A
ID1751,medxpert,A,A,B
ID1755,medxpert,F,NONE,D
ID1756,jama,A,A,A
ID1757,medxpert,C,A,C
ID1758,medxpert,G,B,B
ID1761,jama,B,B,B
ID1762,jama,B,C,C
ID1765,jama,C,B,B
ID1766,medxpert,E,B,B
ID1767,medxpert,J,D,D
ID1768,medbullets,C,B,C
ID1769,jama,C,B,B
ID1772,medxpert,E,C,C
ID1773,medxpert,F,NONE,C
ID1774,mmlu,B,C,C
ID1775,medxpert,C,A,A
ID1776,medxpert,B,NONE,D
ID1777,medxpert,H,D,D
ID1778,medxpert,C,A,A
ID1779,medxpert,F,NONE,B
ID1783,medxpert,H,C,C
ID1786,medbullets,C,A,A
ID1787,jama,B,D,D
ID1788,mmlu,D,B,B
ID1789,medxpert,C,A,A
ID1790,jama,B,D,D
ID1791,jama,C,B,B
ID1792,jama,C,A,A
ID1793,mmlu,A,B,B
ID1795,medxpert,E,NONE,B
ID1797,jama,B,D,A
ID1798,mmlu,A,NONE,C
ID1799,jama,A,A,A
ID1800,mmlu,A,A,C
ID1802,jama,C,A,B
ID1807,jama,B,C,D
ID1808,mmlu,B,D,D
ID1809,jama,C,B,B
ID1811,jama,B,A,A
ID1812,medbullets,A,B,A
ID1817,medxpert,A,B,D
ID1818,mmlu,B,C,B
ID1819,jama,C,B,B
ID1820,jama,B,C,C
ID1821,medbullets,D,NONE,C
ID1822,medbullets,C,NONE,C
ID1823,jama,B,D,B
ID1824,medbullets,C,D,D
ID1825,medxpert,G,C,C
ID1826,mmlu,C,D,A
ID1827,mmlu,D,C,D
ID1829,jama,C,C,C
ID1830,medxpert,A,A,C
ID1831,jama,A,NONE,D
ID1833,medbullets,A,B,B
ID1834,medxpert,B,D,D
ID1835,jama,B,C,C
ID1836,jama,C,A,C
ID1837,jama,B,B,B
ID1838,medbullets,C,C,B
ID1840,medxpert,D,C,C
ID1841,jama,A,C,C
ID1842,jama,B,D,D
ID1843,mmlu,D,C,B
ID1845,medbullets,D,D,D
ID1846,medbullets,C,D,C
ID1847,jama,C,C,B
ID1848,jama,C,C,C
ID1849,mmlu,B,D,D
ID1850,jama,B,NONE,B
ID1851,mmlu,C,B,B
ID1852,jama,C,C,C
ID1855,jama,C,D,D
ID1856,jama,A,NONE,D
ID1858,medxpert,C,C,C
ID1859,jama,B,B,B
ID1860,jama,B,D,D
ID1862,mmlu,D,D,D
ID1863,mmlu,B,C,D
ID1865,jama,C,A,A
ID1866,mmlu,A,A,A
ID1868,jama,D,B,B
ID1870,jama,C,B,A
ID1871,medxpert,H,B,B
ID1873,mmlu,D,A,A
ID1874,mmlu,A,D,B
ID1875,jama,D,A,A
ID1876,jama,C,A,A
ID1879,jama,B,B,B
ID1880,medbullets,C,B,B
ID1881,mmlu,A,B,B
ID1882,medbullets,C,A,A
ID1886,medxpert,A,C,A
ID1887,jama,C,B,B
ID1888,medxpert,A,C,A
ID1889,mmlu,C,C,B
ID1890,medxpert,C,A,B
ID1892,medxpert,G,C,C
ID1893,jama,C,D,D
ID1895,medbullets,C,B,B
ID1896,medxpert,B,B,B
ID1898,medbullets,C,C,C
ID1899,jama,C,D,C
ID1900,jama,C,B,B
ID1902,jama,C,A,A
ID1903,jama,C,D,D
ID1904,jama,D,A,A
ID1905,medxpert,F,D,A
ID1908,mmlu,C,B,C
ID1909,jama,C,C,D
ID1910,medxpert,C,NONE,D
ID1911,mmlu,B,NONE,B
ID1912,mmlu,D,A,A
ID1913,medxpert,G,C,C
ID1915,medxpert,C,C,C
ID1917,jama,B,D,D
ID1918,jama,C,D,D
ID1919,medbullets,D,B,B
ID1923,medxpert,E,B,B
ID1924,medxpert,F,NONE,C
ID1925,jama,C,D,D
ID1927,medbullets,B,C,C
ID1928,jama,C,D,C
ID1929,medxpert,B,D,D
ID1931,jama,C,D,D
ID1932,jama,B,C,C
ID1933,jama,C,A,A
ID1934,jama,A,B,B
ID1937,jama,B,A,D
ID1938,medbullets,B,C,C
ID1940,jama,A,D,D
ID1941,medxpert,A,D,C
ID1944,medxpert,I,B,B
ID1945,medbullets,B,D,D
ID1946,medxpert,F,C,A
ID1947,medxpert,F,A,C
ID1948,medxpert,H,D,D
ID1949,jama,C,NONE,A
ID1951,jama,C,B,C
ID1952,medbullets,C,C,A
ID1953,jama,B,C,C
ID1955,medbullets,D,D,D
ID1956,jama,C,A,A
ID1957,medxpert,E,A,A
ID1958,medxpert,B,D,C
ID1959,jama,D,C,B
ID1962,medxpert,C,A,A
ID1963,medbullets,B,C,C
ID1965,jama,C,NONE,D
ID1966,jama,A,D,B
ID1969,mmlu,C,A,A
ID1970,jama,B,A,A
ID1972,mmlu,C,NONE,D
ID1974,medbullets,C,A,A
ID1975,medxpert,F,D,A
ID1976,medxpert,C,B,B
ID1977,jama,D,B,B
ID1979,medxpert,G,C,A
ID1980,medxpert,G,B,C
ID1981,jama,C,C,A
ID1983,medbullets,C,B,B
ID1984,mmlu,D,NONE,D
ID1986,jama,C,B,B
ID1987,medxpert,H,D,C
ID1989,mmlu,B,D,D
ID1990,jama,A,B,B
ID1991,jama,A,C,C
ID1993,mmlu,C,D,C
ID1994,medxpert,E,A,D
ID1995,mmlu,D,D,A
ID1996,mmlu,D,C,C
ID1997,medxpert,C,C,C
ID1998,medbullets,A,D,D
ID1999,medxpert,C,B,A
