Origin,GPT4o_Round1,GPT4o_Round2,Ground_Truth,Qwen72B_Round1,Qwen72B_Round2,data_source,Qwen14B_Round1,Qwen14B_Round2,Llama70B_Round1,Llama70B_Round2
ID0784,C,C,C,C,C,medbullets,D,B,D,C
ID0785,C,C,C,C,A,jama,B,C,B,C
ID0786,A,A,A,I,I,medxpert,B,A,B,I
ID0788,B,B,B,D,B,medbullets,A,D,A,D
ID0789,A,A,A,A,A,mmlu,B,A,B,A
ID0790,C,C,C,C,C,medbullets,C,B,C,C
ID0792,J,A,I,A,J,medxpert,D,A,D,A
ID0796,D,D,D,D,D,medbullets,C,C,C,D
ID0797,C,C,C,C,C,jama,D,B,A,C
ID0798,H,H,H,C,C,medxpert,D,F,A,C
ID0799,D,D,D,D,D,mmlu,B,D,B,D
ID0800,C,C,C,B,B,jama,B,B,C,B
ID0801,B,B,B,B,B,medbullets,D,C,D,B
ID0802,D,B,D,D,B,mmlu,C,A,C,D
ID0803,D,D,D,C,C,jama,C,C,C,C
ID0805,G,J,J,J,J,medxpert,B,G,J,J
ID0809,D,D,B,C,A,jama,C,D,B,C
ID0810,C,C,C,C,C,medbullets,B,C,B,C
ID0811,A,A,A,A,A,medxpert,C,F,A,A
ID0813,I,I,D,D,D,medxpert,C,C,B,D
ID0814,C,B,B,B,B,jama,C,D,C,B
ID0815,G,B,I,B,H,medxpert,D,B,D,B
ID0816,I,I,E,A,A,medxpert,C,C,C,A
ID0819,C,C,C,C,C,mmlu,D,C,C,C
ID0821,A,A,A,G,C,medxpert,D,C,A,G
ID0824,A,A,A,B,A,medbullets,B,A,D,B
ID0825,D,D,D,B,D,medbullets,B,B,D,B
ID0826,C,C,C,C,C,jama,NONE,C,D,C
ID0827,G,H,C,H,C,medxpert,C,H,C,H
ID0828,<answer>Option (B)</answer>,E,E,B,B,medxpert,C,B,C,B
ID0830,A,A,A,A,A,medbullets,B,A,B,A
ID0831,<answer>Option (B)</answer>,F,F,C,B,medxpert,B,F,B,C
ID0832,D,D,D,D,D,jama,D,C,D,D
ID0833,C,C,C,C,C,medbullets,B,C,B,C
ID0834,C,C,C,C,C,jama,D,C,D,C
ID0835,A,A,A,A,A,medbullets,B,A,B,A
ID0836,B,C,B,C,C,medbullets,B,C,C,C
ID0837,C,C,C,C,C,jama,B,B,B,C
ID0840,A,A,A,A,A,mmlu,C,A,C,A
ID0841,D,D,C,B,D,medbullets,D,C,C,B
ID0842,I,D,C,D,D,medbullets,D,A,D,D
ID0843,F,F,B,F,F,medxpert,C,C,A,F
ID0844,A,A,A,A,A,medbullets,A,B,A,A
ID0845,C,C,C,C,C,medbullets,B,C,D,C
ID0846,C,C,C,C,C,jama,A,C,D,C
ID0847,C,C,B,C,C,jama,B,D,A,C
ID0850,C,C,C,C,C,jama,C,D,A,C
ID0851,D,D,D,D,D,mmlu,A,A,A,D
ID0852,A,A,A,A,A,medbullets,B,D,C,A
ID0853,B,B,B,B,B,medbullets,C,D,C,B
ID0854,C,A,A,C,D,jama,A,D,A,C
ID0855,A,D,D,A,A,jama,B,A,B,A
ID0856,A,J,J,J,J,medxpert,A,J,A,J
ID0858,B,B,B,B,B,jama,B,C,B,B
ID0859,C,C,C,B,B,jama,D,A,D,B
ID0860,D,B,B,B,D,medxpert,B,B,B,B
ID0861,C,C,C,C,C,medbullets,D,C,D,C
ID0862,B,B,B,B,A,jama,B,A,B,B
ID0864,A,A,A,A,A,mmlu,B,B,B,A
ID0866,D,D,D,D,D,jama,C,D,C,D
ID0867,B,B,B,B,B,jama,C,B,C,B
ID0869,B,B,B,B,B,jama,C,B,C,B
ID0870,B,B,A,B,B,medxpert,B,C,D,B
ID0871,C,C,C,C,C,jama,D,C,C,C
ID0872,E,E,D,D,D,medxpert,D,D,D,D
ID0876,B,C,B,A,D,jama,NONE,A,B,A
ID0878,B,B,B,A,A,jama,A,A,C,A
ID0879,C,C,C,C,C,jama,C,A,C,C
ID0880,I,I,F,I,I,medxpert,C,F,C,I
ID0883,G,G,G,G,C,medxpert,B,G,B,G
ID0884,C,C,C,C,C,mmlu,C,C,C,C
ID0885,D,D,D,A,B,medbullets,D,A,C,A
ID0887,B,B,B,B,B,medbullets,D,B,D,B
ID0889,A,B,D,D,D,jama,B,A,B,D
ID0893,D,D,D,D,D,medbullets,A,C,B,D
ID0894,B,B,B,B,B,jama,D,B,D,B
ID0895,C,C,C,C,C,jama,B,C,B,C
ID0899,B,B,B,C,A,jama,C,C,C,C
ID0900,C,C,C,C,C,jama,D,C,D,C
ID0901,B,B,B,B,B,medbullets,A,B,A,B
ID0902,C,I,I,D,D,medxpert,C,C,D,D
ID0904,B,A,A,A,A,jama,C,A,C,A
ID0905,C,C,C,C,C,jama,C,C,C,C
ID0907,E,E,C,E,E,medxpert,C,E,D,E
ID0908,C,C,C,C,C,jama,B,B,B,C
ID0909,A,A,A,A,A,mmlu,B,A,B,A
ID0910,D,D,D,D,B,mmlu,NONE,C,C,D
ID0911,D,D,D,D,D,mmlu,C,D,D,D
ID0912,C,C,E,B,H,medxpert,A,F,B,B
ID0915,C,D,C,C,C,jama,C,C,C,C
ID0916,D,D,D,D,B,jama,B,D,C,D
ID0918,D,D,D,D,D,mmlu,C,D,C,D
ID0919,D,D,A,D,F,medxpert,B,F,B,D
ID0922,E,E,I,I,F,medxpert,B,F,I,I
ID0923,A,A,A,A,A,medbullets,B,A,A,A
ID0924,B,B,B,B,B,medbullets,NONE,A,C,B
ID0925,B,B,B,B,B,jama,B,A,B,B
ID0926,J,J,A,C,C,medxpert,B,A,A,C
ID0927,A,A,B,B,A,jama,D,B,B,B
ID0928,C,C,C,B,C,medbullets,A,C,C,B
ID0934,G,G,G,G,G,medxpert,B,G,B,G
ID0935,A,A,A,A,A,jama,B,D,A,A
ID0937,C,C,C,A,C,jama,A,A,A,A
ID0939,A,A,A,A,A,jama,D,A,A,A
ID0941,C,C,E,C,C,medxpert,B,C,B,C
ID0942,G,G,H,A,A,medxpert,B,G,H,A
ID0944,B,B,B,B,B,mmlu,C,C,C,B
ID0948,<answer>Option (H)</answer>,B,F,G,B,medxpert,D,G,D,G
ID0949,C,C,C,C,C,medbullets,D,C,C,C
ID0951,B,B,B,B,B,mmlu,A,A,A,B
ID0953,D,D,D,D,D,mmlu,A,B,B,D
ID0954,B,B,B,B,B,jama,C,B,C,B
ID0957,B,B,J,D,B,medxpert,C,B,C,D
ID0961,A,A,A,B,A,jama,D,A,C,B
ID0962,A,A,A,C,C,jama,C,C,C,C
ID0963,D,D,D,D,D,mmlu,D,C,D,D
ID0965,I,I,F,I,I,medxpert,C,C,C,I
ID0967,B,B,B,B,B,medbullets,D,C,C,B
ID0968,A,B,C,B,A,jama,B,C,B,B
ID0969,C,C,C,C,C,jama,A,C,A,C
ID0970,B,B,B,C,C,medbullets,B,C,B,C
ID0972,<answer>Option (C)</answer>,C,B,C,C,medxpert,C,A,C,C
ID0973,D,C,D,C,D,jama,B,C,B,C
ID0974,D,A,D,A,A,medbullets,C,A,A,A
ID0976,A,A,A,A,D,jama,C,B,C,A
ID0977,B,B,B,B,C,jama,C,A,C,B
ID0979,<answer>Option (B)</answer>,F,B,B,B,medxpert,B,B,B,B
ID0981,C,C,C,C,C,jama,D,D,D,C
ID0982,C,C,C,D,D,jama,D,C,C,D
ID0987,A,A,A,D,A,medbullets,C,C,C,D
ID0990,D,D,D,D,D,jama,B,D,B,D
ID0991,C,A,C,A,A,jama,B,A,B,A
ID0992,<answer>Option (B)</answer>,E,B,A,B,medxpert,C,E,C,A
ID0993,B,B,C,A,A,jama,A,B,A,A
ID0994,<answer>Option (C)</answer>,C,C,A,A,medxpert,B,A,A,A
ID0996,C,C,C,C,C,jama,B,C,B,C
ID0998,B,B,B,B,B,jama,D,B,D,B
ID0999,D,D,D,D,D,mmlu,C,D,C,D
ID1001,C,C,C,C,C,jama,A,C,D,C
ID1002,C,C,C,C,C,jama,C,C,C,C
ID1005,C,C,C,C,C,jama,D,C,D,C
ID1006,C,C,B,C,C,jama,B,C,B,C
ID1009,D,D,D,D,D,medxpert,C,D,C,D
ID1011,A,A,D,D,A,jama,B,A,B,D
ID1013,D,D,D,D,D,mmlu,C,D,C,D
ID1014,B,B,B,B,B,jama,C,B,C,B
ID1015,D,D,D,D,D,jama,D,D,D,D
ID1016,A,B,D,D,D,jama,D,A,D,D
ID1017,D,D,D,D,D,jama,D,D,B,D
ID1019,D,A,D,A,D,jama,B,A,B,A
ID1020,A,C,C,C,C,jama,C,C,C,C
ID1021,A,A,A,A,A,jama,B,A,B,A
ID1022,D,D,D,D,D,jama,B,D,D,D
ID1024,D,D,D,C,C,medbullets,A,A,D,C
ID1025,A,A,A,A,A,mmlu,B,A,B,A
ID1026,<answer>Option (D)</answer>,F,B,D,D,medxpert,D,F,D,D
ID1028,D,D,D,A,A,medbullets,D,A,D,A
ID1029,I,C,G,C,C,medxpert,D,C,D,C
ID1031,J,J,G,I,I,medxpert,C,A,C,I
ID1032,C,C,A,C,C,jama,D,C,B,C
ID1035,C,A,C,A,A,jama,A,C,A,A
ID1037,B,B,B,B,B,jama,B,B,B,B
ID1038,A,D,D,B,B,jama,B,A,B,B
ID1040,D,D,D,D,D,jama,A,A,C,D
ID1044,C,C,C,C,C,mmlu,D,C,D,C
ID1047,B,B,B,B,B,jama,B,B,B,B
ID1048,B,B,B,B,B,jama,B,C,B,B
ID1049,D,D,D,D,B,jama,C,C,C,D
ID1051,A,A,A,B,B,medbullets,B,C,B,B
ID1055,<answer>Option (C)</answer>,C,E,C,C,medxpert,A,F,A,C
ID1058,D,D,D,H,H,medxpert,C,H,C,H
ID1059,C,C,C,C,C,mmlu,A,C,A,C
ID1060,C,C,C,D,D,jama,C,D,D,D
ID1062,E,J,E,J,J,medxpert,C,A,C,J
ID1063,B,B,B,B,B,mmlu,C,B,C,B
ID1064,A,A,A,C,C,mmlu,B,C,B,C
ID1065,<answer>Option (D)</answer>,G,G,G,G,medxpert,C,E,C,G
ID1066,<answer>Option (G)</answer>,G,B,C,G,medxpert,B,G,B,C
ID1067,<answer>Option (C)</answer>,A,G,E,E,medxpert,C,A,A,E
ID1068,C,C,C,A,C,jama,A,A,C,A
ID1070,B,B,B,D,B,jama,B,C,B,D
ID1071,B,B,B,B,B,jama,A,B,A,B
ID1072,H,D,A,D,D,medxpert,D,F,D,D
ID1073,D,D,D,A,D,jama,B,D,B,A
ID1074,D,A,D,D,E,medxpert,A,B,D,D
ID1075,C,C,C,D,B,jama,B,A,B,D
ID1076,B,B,B,B,B,jama,D,B,D,B
ID1077,D,D,D,D,D,jama,A,D,B,D
ID1079,C,C,C,B,B,jama,D,C,B,B
ID1080,B,B,B,B,B,jama,B,B,B,B
ID1081,D,D,D,D,D,medbullets,D,D,D,D
ID1082,B,B,B,B,B,mmlu,B,D,B,B
ID1084,D,D,D,D,D,jama,D,A,D,D
ID1085,D,D,D,C,C,medxpert,B,B,B,C
ID1087,B,B,B,B,B,jama,D,B,B,B
ID1088,B,B,B,B,B,mmlu,D,B,C,B
ID1089,B,B,B,B,B,jama,D,B,C,B
ID1090,D,D,D,D,D,jama,B,D,A,D
ID1093,C,C,C,C,C,medbullets,A,C,A,C
ID1098,A,A,A,A,A,jama,C,A,C,A
ID1099,A,A,A,B,B,jama,D,B,A,B
ID1101,B,B,C,B,B,jama,A,B,B,B
ID1102,B,B,B,B,B,medxpert,B,B,B,B
ID1108,<answer>Option (E)</answer>,E,E,B,E,medxpert,D,B,B,B
ID1110,A,A,A,A,A,jama,B,A,B,A
ID1112,A,A,A,A,A,mmlu,B,A,A,A
ID1113,C,C,C,C,C,jama,A,C,B,C
ID1114,C,C,C,C,C,mmlu,A,C,C,C
ID1116,D,D,B,B,B,medbullets,B,B,B,B
ID1117,D,D,C,C,C,medxpert,B,E,B,C
ID1118,A,A,B,A,A,jama,C,A,B,A
ID1119,B,D,B,B,B,jama,A,B,B,B
ID1121,C,C,C,C,C,jama,D,C,C,C
ID1123,D,D,D,D,D,jama,B,C,D,D
ID1125,J,J,A,J,J,medxpert,B,G,B,J
ID1127,C,B,C,B,B,jama,C,B,C,B
ID1129,C,C,C,C,C,medbullets,A,C,A,C
ID1130,A,A,A,A,A,medbullets,B,A,A,A
ID1131,B,B,D,B,A,jama,D,B,C,B
ID1132,B,B,D,B,B,jama,C,B,C,B
ID1135,B,B,B,B,B,jama,C,B,B,B
ID1137,B,B,B,B,B,medbullets,D,A,D,B
ID1138,C,A,A,B,C,jama,A,C,A,B
ID1139,B,B,B,B,B,jama,C,B,C,B
ID1140,C,C,C,C,C,jama,D,D,B,C
ID1141,G,G,G,F,F,medxpert,A,F,D,F
ID1142,D,D,D,D,A,medbullets,B,D,A,D
ID1146,B,B,B,B,B,jama,B,B,B,B
ID1147,G,G,E,I,I,medxpert,D,G,B,I
ID1148,B,B,B,B,B,jama,B,B,B,B
ID1149,D,D,D,C,C,jama,C,C,C,C
ID1150,A,A,A,A,A,jama,C,A,C,A
ID1151,<answer>Option (B)</answer>,B,C,C,C,medxpert,B,C,A,C
ID1152,C,C,C,C,C,mmlu,C,D,C,C
ID1153,C,D,A,A,A,medbullets,B,A,A,A
ID1154,D,D,D,F,F,medxpert,D,A,A,F
ID1155,I,D,C,D,D,medxpert,B,A,B,D
ID1157,C,C,C,C,C,medbullets,B,C,B,C
ID1158,C,C,C,C,C,medbullets,B,C,C,C
ID1160,C,C,B,C,C,jama,D,A,B,C
ID1161,G,G,J,B,G,medxpert,C,G,B,B
ID1162,B,B,B,B,B,jama,B,C,B,B
ID1163,D,D,D,D,D,mmlu,C,D,C,D
ID1164,B,B,B,B,B,jama,B,B,B,B
ID1166,B,B,B,B,A,jama,B,B,B,B
ID1167,A,A,A,B,A,jama,C,A,C,B
ID1170,C,C,C,C,C,jama,B,C,B,C
ID1171,B,B,B,D,D,jama,C,C,C,D
ID1172,<answer>Option (F)</answer>,F,F,A,A,medxpert,C,C,C,A
ID1174,B,D,C,D,D,jama,B,D,B,D
ID1175,D,D,A,A,A,jama,D,A,A,A
ID1176,B,B,B,C,C,medxpert,A,C,B,C
ID1178,C,C,C,C,C,jama,A,C,A,C
ID1179,C,C,C,C,I,medxpert,C,F,C,C
ID1180,D,D,D,D,D,mmlu,A,D,A,D
ID1181,D,D,D,D,D,mmlu,B,D,B,D
ID1182,B,B,B,B,B,mmlu,B,B,B,B
ID1183,C,C,C,C,C,jama,D,C,C,C
ID1184,<answer>Option (C)</answer>,C,C,C,A,medxpert,D,C,B,C
ID1185,C,C,C,C,A,jama,C,C,C,C
ID1187,D,D,D,D,D,mmlu,B,B,B,D
ID1189,J,B,A,B,B,medxpert,A,D,A,B
ID1190,<answer>Option (E)</answer>,E,H,E,C,medxpert,C,A,A,E
ID1193,B,B,B,B,B,jama,D,B,D,B
ID1194,<answer>Option (F)</answer>,D,H,D,D,medxpert,C,F,C,D
ID1197,A,C,C,A,A,jama,C,A,C,A
ID1198,C,C,C,A,C,jama,C,A,C,A
ID1199,A,A,A,A,A,medxpert,D,A,D,A
ID1200,C,C,C,C,C,medbullets,A,C,C,C
ID1201,C,C,C,C,C,jama,C,C,B,C
ID1202,A,A,A,A,A,medbullets,B,A,B,A
ID1204,C,C,C,C,C,jama,B,C,A,C
ID1206,B,B,B,B,B,mmlu,D,D,A,B
ID1207,A,A,D,A,A,jama,B,D,B,A
ID1208,<answer>Option (D)</answer>,D,B,B,B,medxpert,C,A,C,B
ID1209,D,D,D,D,D,mmlu,B,A,B,D
ID1212,I,I,I,J,J,medxpert,A,C,D,J
ID1214,B,B,C,B,B,jama,B,B,B,B
ID1215,B,B,B,B,B,jama,B,B,B,B
ID1216,C,B,B,B,B,jama,D,A,B,B
ID1217,D,D,D,D,D,jama,C,D,C,D
ID1218,A,A,A,A,A,medbullets,D,C,D,A
ID1219,B,B,C,B,B,jama,C,A,C,B
ID1221,D,D,D,D,D,medbullets,A,D,A,D
ID1223,D,D,D,D,D,mmlu,C,D,D,D
ID1224,B,B,B,B,B,jama,B,B,A,B
ID1226,<answer>Option (H)</answer>,H,G,H,D,medxpert,C,F,C,H
ID1227,C,C,C,C,C,mmlu,B,C,B,C
ID1228,B,B,B,B,C,medbullets,B,B,C,B
ID1229,A,A,B,A,A,jama,D,B,B,A
ID1230,C,A,B,A,A,jama,B,A,B,A
ID1232,C,C,C,C,C,medbullets,A,B,B,C
ID1233,C,C,C,C,C,jama,A,C,A,C
ID1234,B,B,B,B,B,jama,A,A,A,B
ID1236,D,D,D,D,C,jama,NONE,A,D,D
ID1239,D,D,D,D,D,mmlu,D,C,D,D
ID1240,A,A,A,B,B,mmlu,A,D,A,B
ID1242,C,C,C,C,C,jama,B,C,B,C
ID1244,C,C,C,C,C,jama,A,C,A,C
ID1245,B,B,B,B,B,medbullets,NONE,B,C,B
ID1246,B,A,A,B,B,medbullets,B,A,B,B
ID1247,B,B,B,B,B,jama,D,B,C,B
ID1248,D,D,D,D,D,mmlu,C,C,C,D
ID1249,C,C,A,C,A,medbullets,A,C,A,C
ID1251,<answer>Option (E)</answer>,C,C,B,B,medxpert,C,E,C,B
ID1252,E,E,G,E,E,medxpert,C,B,C,E
ID1254,E,E,E,E,E,medxpert,B,E,B,E
ID1255,B,I,I,H,B,medxpert,C,H,C,H
ID1256,I,I,D,F,F,medxpert,D,F,D,F
ID1258,D,D,D,D,D,mmlu,D,C,D,D
ID1260,C,C,C,C,C,jama,B,C,D,C
ID1261,B,B,B,B,B,mmlu,D,B,D,B
ID1262,B,B,B,B,B,medbullets,A,B,A,B
ID1264,C,C,C,A,C,jama,B,C,B,A
ID1266,B,B,C,A,B,jama,A,D,A,A
ID1267,A,A,A,A,A,jama,B,A,B,A
ID1268,D,D,D,D,D,mmlu,A,D,A,D
ID1269,D,C,C,C,C,medbullets,B,C,C,C
ID1270,<answer>Option (D)</answer>,I,J,J,J,medxpert,C,H,B,J
ID1271,D,D,D,D,B,medbullets,A,A,C,D
ID1272,A,A,A,D,D,mmlu,D,C,C,D
ID1273,C,C,C,D,C,jama,A,A,A,D
ID1275,B,B,B,B,B,jama,C,C,A,B
ID1276,C,C,C,C,B,jama,C,C,C,C
ID1277,D,D,D,D,D,mmlu,B,D,C,D
ID1278,C,C,C,C,C,medbullets,B,B,C,C
ID1279,C,C,C,C,C,medbullets,D,C,D,C
ID1280,<answer>Option (B)</answer>,B,B,B,G,medxpert,D,A,D,B
ID1281,B,B,B,B,B,jama,A,B,A,B
ID1284,<answer>Option (H)</answer>,F,H,F,F,medxpert,C,C,B,F
ID1285,B,B,B,B,B,jama,NONE,B,B,B
ID1286,C,C,B,D,C,jama,D,C,D,D
ID1287,D,D,D,D,D,mmlu,C,D,D,D
ID1288,A,B,C,B,C,jama,D,C,D,B
ID1289,C,C,C,C,A,jama,C,B,C,C
ID1290,A,A,A,A,A,jama,B,A,B,A
ID1291,<answer>Option (E)</answer>,E,H,J,J,medxpert,D,E,D,J
ID1294,E,E,B,E,E,medxpert,A,E,A,E
ID1296,B,B,B,B,B,mmlu,A,A,D,B
ID1297,B,B,B,A,A,mmlu,B,B,A,A
ID1298,H,H,H,A,A,medxpert,D,A,D,A
ID1299,<answer>Option (E)</answer>,C,E,E,E,medxpert,B,A,B,E
ID1301,B,B,B,B,B,jama,B,B,A,B
ID1302,D,D,D,D,D,mmlu,NONE,D,D,D
ID1303,C,C,C,C,A,jama,B,C,D,C
ID1307,D,D,D,B,B,medbullets,D,D,A,B
ID1308,B,B,B,D,D,jama,D,B,D,D
ID1309,<answer>Option (E)</answer>,E,D,D,D,medxpert,B,D,B,D
ID1310,D,D,D,D,D,mmlu,C,D,C,D
ID1311,<answer>Option (B)</answer>,I,B,B,B,medxpert,C,A,C,B
ID1312,<answer>Option (H)</answer>,A,F,H,D,medxpert,C,D,B,H
ID1313,D,C,C,D,D,medbullets,A,D,A,D
ID1314,B,B,B,B,B,jama,C,B,C,B
ID1315,D,D,D,D,D,medbullets,C,C,C,D
ID1316,C,C,C,C,C,mmlu,NONE,D,B,C
ID1318,C,C,C,C,C,jama,D,C,D,C
ID1320,C,C,C,C,C,jama,B,C,B,C
ID1321,C,C,C,C,C,jama,D,B,D,C
ID1324,J,J,F,D,G,medxpert,C,C,A,D
ID1328,J,H,H,A,A,medxpert,C,A,C,A
ID1329,D,D,D,D,D,medbullets,B,B,B,D
ID1330,B,B,B,B,B,mmlu,C,C,C,B
ID1331,B,B,B,B,B,mmlu,A,B,B,B
ID1332,B,B,B,B,B,jama,B,B,B,B
ID1333,<answer>Option (C)</answer>,G,C,G,G,medxpert,A,C,A,G
ID1334,C,C,C,C,C,jama,B,C,C,C
ID1335,A,A,D,D,D,mmlu,B,D,B,D
ID1336,C,C,C,C,C,mmlu,D,B,D,C
ID1337,C,A,A,C,C,medbullets,D,C,D,C
ID1338,D,D,D,D,D,medbullets,D,D,B,D
ID1339,D,D,D,D,D,mmlu,B,C,B,D
ID1340,H,C,C,H,C,medxpert,C,H,C,H
ID1343,B,B,D,B,B,medbullets,A,C,D,B
ID1345,C,C,C,C,C,medbullets,B,C,B,C
ID1346,C,D,C,C,C,jama,C,C,C,C
ID1347,B,B,A,B,B,jama,A,B,A,B
ID1348,C,C,C,C,C,jama,B,C,B,C
ID1349,D,D,D,C,C,jama,A,D,A,C
ID1350,C,C,A,C,A,jama,B,A,C,C
ID1352,D,D,D,A,A,jama,B,B,B,A
ID1353,C,C,C,C,C,jama,B,C,B,C
ID1354,B,B,B,B,B,jama,A,C,B,B
ID1355,A,A,A,A,A,mmlu,D,D,D,A
ID1356,<answer>Option (C)</answer>,C,F,C,C,medxpert,A,C,C,C
ID1357,E,E,B,E,E,medxpert,C,C,B,E
ID1359,C,C,A,C,C,jama,B,A,B,C
ID1360,B,D,D,B,D,jama,B,B,B,B
ID1362,B,B,B,B,B,medbullets,C,B,C,B
ID1366,B,B,B,B,B,jama,A,B,D,B
ID1368,D,D,D,C,D,jama,C,A,C,C
ID1369,<answer>Option (H)</answer>,H,C,D,H,medxpert,C,F,D,D
ID1371,D,C,A,D,D,medbullets,B,C,D,D
ID1373,A,C,C,C,B,jama,A,B,A,C
ID1374,A,A,A,A,A,jama,D,D,D,A
ID1376,B,B,A,D,D,jama,B,C,B,D
ID1377,C,C,C,C,C,jama,D,C,D,C
ID1378,B,B,B,B,B,medbullets,C,A,C,B
ID1380,C,C,A,B,B,medxpert,C,B,C,B
ID1381,A,A,B,A,A,jama,D,B,B,A
ID1382,C,C,C,C,C,jama,D,A,D,C
ID1383,A,A,A,A,A,mmlu,D,A,D,A
ID1384,A,A,A,A,A,medbullets,D,C,D,A
ID1385,<answer>Option (C)</answer>,A,A,B,B,medxpert,C,B,C,B
ID1387,C,C,C,C,C,jama,A,C,A,C
ID1388,C,C,C,A,A,jama,A,C,B,A
ID1389,<answer>Option (A)</answer>,B,E,B,B,medxpert,B,B,C,B
ID1391,D,B,D,D,D,jama,NONE,B,B,D
ID1392,J,J,J,C,C,medxpert,C,E,A,C
ID1394,C,C,C,C,C,medbullets,C,B,B,C
ID1395,J,J,J,J,J,medxpert,B,F,B,J
ID1396,G,G,J,G,G,medxpert,C,G,C,G
ID1397,C,C,C,B,B,medbullets,C,C,D,B
ID1398,C,C,C,C,C,jama,D,B,D,C
ID1399,G,E,E,E,E,medxpert,C,C,B,E
ID1401,C,B,C,A,C,jama,NONE,B,C,A
ID1402,C,C,C,C,C,jama,C,C,B,C
ID1403,B,B,B,D,B,jama,C,B,C,D
ID1405,B,B,B,B,B,mmlu,C,D,C,B
ID1409,<answer>Option (G)</answer>,G,G,B,B,medxpert,B,G,B,B
ID1411,B,B,B,D,D,medbullets,C,D,C,D
ID1413,C,C,C,C,C,medbullets,B,C,C,C
ID1414,I,G,B,B,B,medxpert,B,J,B,B
ID1416,B,B,B,B,B,jama,C,B,C,B
ID1418,D,D,D,D,D,mmlu,A,A,B,D
ID1419,B,B,B,B,B,jama,B,D,B,B
ID1421,D,D,D,D,D,mmlu,D,A,A,D
ID1422,B,B,C,B,B,medbullets,D,A,B,B
ID1423,<answer>Option (F)</answer>,F,F,F,B,medxpert,C,F,D,F
ID1425,D,D,D,D,D,mmlu,D,D,D,D
ID1426,D,D,D,D,D,mmlu,C,D,B,D
ID1428,A,A,F,A,F,medxpert,C,A,C,A
ID1429,C,C,C,A,A,jama,C,A,C,A
ID1430,C,C,C,C,C,jama,D,C,B,C
ID1431,B,B,A,C,C,jama,B,C,B,C
ID1432,H,E,E,G,D,medxpert,B,A,B,G
ID1434,G,J,D,J,J,medxpert,B,H,B,J
ID1438,D,D,D,D,D,jama,C,D,C,D
ID1439,B,B,B,B,B,medbullets,A,B,D,B
ID1442,D,D,D,D,D,mmlu,B,D,B,D
ID1445,A,A,A,A,A,mmlu,C,A,C,A
ID1446,C,C,C,C,C,mmlu,D,D,B,C
ID1448,H,H,B,C,C,medxpert,C,B,C,C
ID1449,<answer>Option (B)</answer>,B,C,C,C,medxpert,C,C,B,C
ID1450,C,C,C,C,C,jama,A,A,A,C
ID1452,D,B,D,D,B,medbullets,C,B,D,D
ID1453,A,A,D,A,A,jama,D,A,B,A
ID1454,B,B,B,B,B,mmlu,D,B,D,B
ID1457,A,A,A,B,B,medbullets,C,A,C,B
ID1458,C,C,C,C,C,jama,NONE,C,A,C
ID1459,A,A,A,A,A,jama,C,A,C,A
ID1460,D,D,D,D,A,mmlu,D,C,D,D
ID1462,<answer>Option (B)</answer>,B,A,A,A,medxpert,NONE,A,C,A
ID1463,G,E,G,E,D,medxpert,B,C,C,E
ID1464,C,C,A,C,C,jama,C,C,C,C
ID1466,D,D,D,D,D,mmlu,D,D,B,D
ID1467,D,D,D,D,B,mmlu,A,B,A,D
ID1468,D,D,A,D,D,medbullets,B,A,B,D
ID1469,C,C,C,C,C,jama,B,C,B,C
ID1474,B,B,B,B,B,mmlu,B,B,B,B
ID1475,C,C,C,C,C,medbullets,D,C,D,C
ID1476,C,C,C,B,D,jama,B,A,A,B
ID1477,B,B,B,B,B,jama,C,B,C,B
ID1479,D,D,D,D,D,mmlu,NONE,A,B,D
ID1480,D,D,D,D,D,medbullets,A,D,B,D
ID1481,D,A,C,A,A,jama,D,A,A,A
ID1483,H,H,F,E,E,medxpert,A,C,C,E
ID1485,A,C,C,C,A,jama,D,C,D,C
ID1486,B,B,B,A,A,jama,D,A,D,A
ID1488,D,D,D,A,D,medbullets,B,D,C,A
ID1489,A,D,A,A,A,medbullets,A,A,A,A
ID1490,A,A,A,A,D,medbullets,D,A,D,A
ID1491,D,D,B,B,C,jama,A,B,A,B
ID1492,F,F,F,A,D,medxpert,B,A,B,A
ID1494,B,B,B,B,B,medbullets,C,B,C,B
ID1495,B,B,B,B,B,medbullets,C,B,C,B
ID1496,A,A,A,A,A,medbullets,C,A,A,A
ID1500,C,C,C,C,C,mmlu,D,C,A,C
ID1501,E,E,J,E,E,medxpert,D,E,B,E
ID1504,<answer>Option (D)</answer>,D,D,F,B,medxpert,C,F,A,F
ID1505,D,D,D,D,D,jama,C,C,C,D
ID1506,D,D,D,D,D,mmlu,B,A,B,D
ID1507,C,C,C,C,C,mmlu,A,C,A,C
ID1508,D,D,D,D,C,medbullets,D,D,B,D
ID1510,D,A,D,A,B,jama,C,B,C,A
ID1513,D,D,D,D,D,jama,D,D,D,D
ID1514,A,A,A,A,A,jama,A,A,D,A
ID1515,A,A,A,A,A,mmlu,B,A,B,A
ID1517,B,B,C,B,B,jama,NONE,B,B,B
ID1518,D,D,D,D,D,jama,B,D,A,D
ID1520,A,A,A,A,A,jama,B,C,B,A
ID1524,C,C,C,C,C,mmlu,D,C,B,C
ID1525,A,A,A,A,A,jama,A,C,A,A
ID1526,B,B,B,B,B,medbullets,C,C,C,B
ID1529,B,B,B,B,B,jama,B,C,C,B
